2011-01-01 00:00:00
01A -99.999
01B -99.999
02A   0.009
02B   0.078
03A   0.057
03B   0.033
04A   0.247
04B   0.080
05A   0.083
05B   0.103
06A   0.326
06B   0.373
07A -99.999
07B -99.999
08A   0.110
08B   0.091
09A   0.075
09B   0.037
10A   0.106
10B   0.113
11A   0.104
11B   0.077
12A   0.037
12B   0.019
13A   0.402
13B   0.507
14A -99.999
14B -99.999
15A   0.347
15B   0.362
16A   0.222
16B   0.059
17A   0.136
17B   0.038
18A   0.219
18B   0.032
19A   0.178
19B   0.148
20A   0.000
20B   0.042
21A   1.602
21B   1.465
22A -99.999
22B -99.999
23A   0.057
23B   0.090
24A   0.331
24B   0.400
25A   0.447
25B   0.372
26A   0.999
26B   0.762
27A   0.259
27B   0.294
28A   0.167
28B   0.478
29A   1.865
29B   1.577
30A   1.011
30B   1.146
31A -99.999
31B -99.999
32A   0.279
32B   0.259
33A   0.380
33B   0.373
34A   0.249
34B   0.293
35A   0.307
35B   0.452
36A   0.240
36B   0.371
37A   0.061
37B   0.035
38A   1.805
38B   1.669
39A   1.673
39B   1.623
40A   1.104
40B   1.185
41A   0.473
41B   0.495
42A   0.203
42B   0.332
43A   0.416
43B   0.545
44A   0.751
44B   0.580
45A   1.224
45B   1.030
46A   1.269
46B   1.337
47A   1.554
47B   1.896
48A   1.404
48B   1.422
49A   1.063
49B   1.248
50A   1.236
50B   1.177
51A   0.359
51B   0.431
52A   0.649
52B   0.560
53A   0.788
53B   0.722
54A   1.237
54B   1.168
55A   0.959
55B   0.948
56A   1.561
56B   1.428
57A   0.240
57B   0.141
58A   1.079
58B   1.156
59A   1.163
59B   1.369
60A   0.544
60B   0.692
61A   0.602
61B   0.561
62A   0.570
62B   0.568
63A   0.714
63B   0.600
64A   1.299
64B   0.966
65A   1.163
65B   1.183
66A   1.141
66B   1.315
67A   1.022
67B   1.200
68A   0.867
68B   0.688
69A   0.567
69B   0.594
70A   0.739
70B   0.762
71A   1.060
71B   1.070
72A   0.875
72B   0.821
73A   1.089
73B   1.089
74A   0.969
74B   0.993
75A   0.579
75B   0.638
76A   0.613
76B   0.675
77A   1.152
77B   0.896
78A   0.669
78B   0.645
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
