2011-02-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.032
03A   0.004
03B   0.076
04A   0.280
04B   0.102
05A   0.125
05B   0.056
06A   0.226
06B   0.364
07A -99.999
07B -99.999
08A   0.114
08B   0.019
09A   0.040
09B   0.044
10A   0.120
10B   0.045
11A   0.159
11B   0.073
12A   0.054
12B   0.000
13A   0.363
13B   0.512
14A -99.999
14B -99.999
15A   0.258
15B   0.356
16A   0.175
16B   0.110
17A   0.012
17B   0.002
18A   0.127
18B   0.021
19A   0.150
19B   0.106
20A   0.069
20B   0.001
21A   1.494
21B   1.409
22A -99.999
22B -99.999
23A   0.108
23B   0.132
24A   0.351
24B   0.359
25A   0.453
25B   0.320
26A   0.883
26B   0.719
27A   0.266
27B   0.316
28A   0.185
28B   0.395
29A   1.731
29B   1.566
30A   1.009
30B   1.196
31A -99.999
31B -99.999
32A   0.284
32B   0.204
33A   0.320
33B   0.389
34A   0.214
34B   0.239
35A   0.310
35B   0.487
36A   0.166
36B   0.344
37A   0.029
37B   0.000
38A   1.680
38B   1.659
39A   1.606
39B   1.577
40A   1.139
40B   1.250
41A   0.471
41B   0.450
42A   0.222
42B   0.341
43A   0.472
43B   0.445
44A   0.761
44B   0.683
45A   1.319
45B   1.043
46A   1.183
46B   1.265
47A   1.653
47B   1.809
48A   1.465
48B   1.296
49A   1.069
49B   1.202
50A   1.203
50B   1.207
51A   0.398
51B   0.449
52A   0.646
52B   0.627
53A   0.803
53B   0.639
54A   1.243
54B   1.124
55A   1.012
55B   0.970
56A   1.529
56B   1.359
57A   0.282
57B   0.097
58A   1.111
58B   1.080
59A   1.240
59B   1.378
60A   0.599
60B   0.730
61A   0.572
61B   0.541
62A   0.622
62B   0.509
63A   0.640
63B   0.617
64A   1.420
64B   1.225
65A   1.131
65B   1.101
66A   1.124
66B   1.275
67A   1.056
67B   1.163
68A   0.859
68B   0.672
69A   0.555
69B   0.549
70A   0.759
70B   0.739
71A   1.014
71B   1.080
72A   0.877
72B   0.812
73A   1.044
73B   1.022
74A   0.965
74B   1.024
75A   0.543
75B   0.679
76A   0.638
76B   0.744
77A   1.135
77B   0.898
78A   0.737
78B   0.582
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
