2011-04-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.005
03A   0.086
03B   0.019
04A   0.308
04B   0.131
05A   0.168
05B   0.009
06A   0.246
06B   0.269
07A -99.999
07B -99.999
08A   0.190
08B   0.065
09A   0.114
09B   0.125
10A   0.121
10B   0.065
11A   0.269
11B   0.180
12A   0.000
12B   0.076
13A   0.478
13B   0.550
14A -99.999
14B -99.999
15A   0.403
15B   0.376
16A   0.216
16B   0.112
17A   0.050
17B   0.000
18A   0.232
18B   0.000
19A   0.133
19B   0.111
20A   0.057
20B   0.164
21A   1.592
21B   1.518
22A -99.999
22B -99.999
23A   0.142
23B   0.224
24A   0.360
24B   0.474
25A   0.487
25B   0.400
26A   0.982
26B   0.672
27A   0.176
27B   0.266
28A   0.217
28B   0.535
29A   1.892
29B   1.611
30A   1.086
30B   1.271
31A -99.999
31B -99.999
32A   0.328
32B   0.232
33A   0.331
33B   0.426
34A   0.351
34B   0.269
35A   0.450
35B   0.566
36A   0.268
36B   0.308
37A   0.027
37B   0.022
38A   1.757
38B   1.808
39A   1.645
39B   1.574
40A   1.269
40B   1.199
41A   0.523
41B   0.428
42A   0.251
42B   0.368
43A   0.520
43B   0.373
44A   0.790
44B   0.700
45A   1.305
45B   1.051
46A   1.267
46B   1.332
47A   1.510
47B   1.813
48A   1.512
48B   1.365
49A   1.127
49B   1.219
50A   1.220
50B   1.212
51A   0.429
51B   0.438
52A   0.640
52B   0.677
53A   0.866
53B   0.696
54A   1.193
54B   1.060
55A   1.037
55B   1.006
56A   1.506
56B   1.433
57A   0.522
57B   0.201
58A   1.164
58B   1.201
59A   1.236
59B   1.448
60A   0.642
60B   0.708
61A   0.580
61B   0.531
62A   0.653
62B   0.558
63A   0.756
63B   0.595
64A   1.453
64B   1.321
65A   1.170
65B   1.218
66A   1.281
66B   1.362
67A   1.164
67B   1.234
68A   0.848
68B   0.696
69A   0.481
69B   0.620
70A   0.729
70B   0.643
71A   1.113
71B   1.153
72A   0.860
72B   0.774
73A   1.009
73B   1.026
74A   1.069
74B   1.085
75A   0.632
75B   0.769
76A   0.699
76B   0.655
77A   1.213
77B   0.969
78A   0.715
78B   0.584
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
