2011-03-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.004
03A   0.050
03B   0.000
04A   0.283
04B   0.100
05A   0.113
05B   0.020
06A   0.285
06B   0.279
07A -99.999
07B -99.999
08A   0.143
08B   0.041
09A   0.090
09B   0.073
10A   0.172
10B   0.070
11A   0.209
11B   0.156
12A   0.000
12B   0.032
13A   0.431
13B   0.520
14A -99.999
14B -99.999
15A   0.365
15B   0.346
16A   0.187
16B   0.142
17A   0.042
17B   0.009
18A   0.188
18B   0.005
19A   0.151
19B   0.113
20A   0.062
20B   0.049
21A   1.530
21B   1.518
22A -99.999
22B -99.999
23A   0.106
23B   0.144
24A   0.317
24B   0.353
25A   0.481
25B   0.360
26A   0.963
26B   0.732
27A   0.232
27B   0.294
28A   0.213
28B   0.535
29A   1.792
29B   1.497
30A   0.987
30B   1.226
31A -99.999
31B -99.999
32A   0.350
32B   0.214
33A   0.338
33B   0.415
34A   0.281
34B   0.253
35A   0.362
35B   0.594
36A   0.195
36B   0.336
37A   0.054
37B   0.010
38A   1.662
38B   1.681
39A   1.545
39B   1.550
40A   1.188
40B   1.138
41A   0.509
41B   0.446
42A   0.264
42B   0.332
43A   0.486
43B   0.428
44A   0.826
44B   0.714
45A   1.266
45B   1.012
46A   1.255
46B   1.303
47A   1.419
47B   1.849
48A   1.432
48B   1.316
49A   1.104
49B   1.203
50A   1.190
50B   1.155
51A   0.440
51B   0.467
52A   0.642
52B   0.622
53A   0.764
53B   0.702
54A   1.247
54B   1.134
55A   0.991
55B   1.012
56A   1.466
56B   1.362
57A   0.370
57B   0.187
58A   1.066
58B   1.144
59A   1.170
59B   1.353
60A   0.590
60B   0.705
61A   0.570
61B   0.564
62A   0.574
62B   0.581
63A   0.705
63B   0.601
64A   1.398
64B   1.326
65A   1.119
65B   1.144
66A   1.101
66B   1.330
67A   1.060
67B   1.179
68A   0.895
68B   0.688
69A   0.554
69B   0.593
70A   0.736
70B   0.695
71A   1.085
71B   1.076
72A   0.894
72B   0.811
73A   1.068
73B   1.079
74A   0.994
74B   1.013
75A   0.580
75B   0.736
76A   0.621
76B   0.702
77A   1.156
77B   0.936
78A   0.759
78B   0.571
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
