2010-03-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.037
03A   0.064
03B   0.000
04A   0.061
04B   0.000
05A   0.035
05B   0.000
06A   0.000
06B   0.131
07A -99.999
07B -99.999
08A -99.999
08B -99.999
09A   0.012
09B   0.069
10A   0.030
10B   0.151
11A   0.000
11B   0.060
12A   0.023
12B   0.000
13A   0.290
13B   0.325
14A -99.999
14B -99.999
15A -99.999
15B -99.999
16A -99.999
16B -99.999
17A   0.000
17B   0.028
18A   0.175
18B   0.019
19A   0.002
19B   0.032
20A   0.000
20B   0.037
21A   1.199
21B   1.334
22A -99.999
22B -99.999
23A -99.999
23B -99.999
24A -99.999
24B -99.999
25A -99.999
25B -99.999
26A   0.342
26B   0.054
27A   0.131
27B   0.142
28A   0.000
28B   0.033
29A   1.698
29B   1.331
30A   0.912
30B   1.030
31A -99.999
31B -99.999
32A -99.999
32B -99.999
33A -99.999
33B -99.999
34A -99.999
34B -99.999
35A -99.999
35B -99.999
36A   0.057
36B   0.000
37A   0.067
37B   0.033
38A   1.641
38B   1.686
39A   1.046
39B   0.875
40A   0.953
40B   0.933
41A -99.999
41B -99.999
42A -99.999
42B -99.999
43A -99.999
43B -99.999
44A   0.470
44B   0.304
45A   0.830
45B   0.618
46A   0.897
46B   0.830
47A   1.342
47B   1.645
48A   1.199
48B   0.937
49A   0.985
49B   1.047
50A   0.964
50B   0.903
51A -99.999
51B -99.999
52A   0.431
52B   0.382
53A   0.686
53B   0.516
54A   0.740
54B   0.803
55A   0.862
55B   0.810
56A   1.066
56B   0.972
57A   0.465
57B   0.319
58A   0.825
58B   0.942
59A   0.942
59B   1.201
60A   0.325
60B   0.378
61A   0.248
61B   0.368
62A   0.350
62B   0.298
63A   0.388
63B   0.453
64A   1.124
64B   0.894
65A   0.950
65B   1.007
66A   0.808
66B   1.034
67A   0.768
67B   1.041
68A   0.460
68B   0.358
69A   0.210
69B   0.292
70A   0.471
70B   0.605
71A   0.933
71B   1.053
72A   0.663
72B   0.622
73A   0.760
73B   0.727
74A   0.771
74B   0.770
75A   0.314
75B   0.477
76A   0.373
76B   0.387
77A   0.800
77B   0.528
78A   0.649
78B   0.551
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
