2010-02-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.063
03A   0.000
03B   0.032
04A   0.009
04B   0.000
05A   0.005
05B   0.025
06A   0.016
06B   0.104
07A -99.999
07B -99.999
08A -99.999
08B -99.999
09A   0.039
09B   0.000
10A   0.080
10B   0.168
11A   0.000
11B   0.037
12A   0.070
12B   0.000
13A   0.295
13B   0.276
14A -99.999
14B -99.999
15A -99.999
15B -99.999
16A -99.999
16B -99.999
17A   0.000
17B   0.045
18A   0.155
18B   0.074
19A   0.007
19B   0.048
20A   0.023
20B   0.036
21A   1.253
21B   1.327
22A -99.999
22B -99.999
23A -99.999
23B -99.999
24A -99.999
24B -99.999
25A -99.999
25B -99.999
26A   0.329
26B   0.077
27A   0.108
27B   0.128
28A   0.000
28B   0.000
29A   1.731
29B   1.314
30A   0.875
30B   1.030
31A -99.999
31B -99.999
32A -99.999
32B -99.999
33A -99.999
33B -99.999
34A -99.999
34B -99.999
35A -99.999
35B -99.999
36A   0.000
36B   0.000
37A   0.067
37B   0.041
38A   1.648
38B   1.663
39A   1.021
39B   0.890
40A   0.956
40B   0.981
41A -99.999
41B -99.999
42A -99.999
42B -99.999
43A -99.999
43B -99.999
44A   0.432
44B   0.273
45A   0.868
45B   0.590
46A   0.799
46B   0.780
47A   1.419
47B   1.606
48A   1.169
48B   0.940
49A   0.964
49B   1.019
50A   0.968
50B   0.851
51A -99.999
51B -99.999
52A   0.464
52B   0.350
53A   0.677
53B   0.537
54A   0.740
54B   0.859
55A   0.877
55B   0.818
56A   0.979
56B   0.948
57A   0.445
57B   0.266
58A   0.839
58B   0.878
59A   0.944
59B   1.169
60A   0.352
60B   0.311
61A   0.295
61B   0.314
62A   0.357
62B   0.308
63A   0.346
63B   0.409
64A   1.002
64B   0.822
65A   0.886
65B   0.923
66A   0.868
66B   0.969
67A   0.757
67B   0.995
68A   0.492
68B   0.296
69A   0.193
69B   0.303
70A   0.462
70B   0.563
71A   0.897
71B   0.982
72A   0.653
72B   0.668
73A   0.798
73B   0.801
74A   0.739
74B   0.795
75A   0.282
75B   0.374
76A   0.362
76B   0.368
77A   0.812
77B   0.521
78A   0.571
78B   0.516
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
