2010-08-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.000
03A   0.013
03B   0.000
04A   0.075
04B   0.000
05A   0.037
05B   0.000
06A   0.063
06B   0.261
07A -99.999
07B -99.999
08A   0.015
08B   0.000
09A   0.000
09B   0.000
10A   0.000
10B   0.000
11A   0.050
11B   0.135
12A   0.000
12B   0.000
13A   0.237
13B   0.396
14A -99.999
14B -99.999
15A   0.299
15B   0.302
16A   0.000
16B   0.009
17A   0.000
17B   0.000
18A   0.133
18B   0.000
19A   0.000
19B   0.000
20A   0.000
20B   0.020
21A   1.310
21B   1.225
22A -99.999
22B -99.999
23A   0.000
23B   0.055
24A   0.205
24B   0.210
25A   0.163
25B   0.081
26A   0.820
26B   0.414
27A   0.243
27B   0.209
28A   0.021
28B   0.371
29A   1.677
29B   1.434
30A   0.925
30B   0.990
31A -99.999
31B -99.999
32A   0.147
32B   0.107
33A   0.131
33B   0.231
34A   0.231
34B   0.022
35A   0.122
35B   0.358
36A   0.053
36B   0.009
37A   0.000
37B   0.000
38A   1.611
38B   1.524
39A   1.379
39B   1.358
40A   0.995
40B   0.929
41A   0.345
41B   0.283
42A   0.112
42B   0.111
43A   0.217
43B   0.308
44A   0.485
44B   0.453
45A   1.048
45B   0.816
46A   1.035
46B   1.056
47A   1.480
47B   1.674
48A   1.365
48B   1.065
49A   0.944
49B   1.109
50A   1.013
50B   0.997
51A   0.233
51B   0.220
52A   0.468
52B   0.268
53A   0.695
53B   0.468
54A   0.878
54B   0.955
55A   0.894
55B   0.876
56A   1.279
56B   1.371
57A   0.920
57B   0.736
58A   0.911
58B   0.985
59A   1.039
59B   1.316
60A   0.330
60B   0.449
61A   0.251
61B   0.330
62A   0.422
62B   0.326
63A   0.494
63B   0.395
64A   1.175
64B   1.129
65A   0.870
65B   0.965
66A   1.112
66B   1.260
67A   0.964
67B   1.107
68A   0.664
68B   0.454
69A   0.394
69B   0.399
70A   0.483
70B   0.545
71A   0.861
71B   0.973
72A   0.681
72B   0.566
73A   0.886
73B   0.949
74A   0.902
74B   0.951
75A   0.432
75B   0.455
76A   0.456
76B   0.460
77A   0.875
77B   0.767
78A   0.622
78B   0.390
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
