2010-06-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.000
03A   0.006
03B   0.000
04A   0.000
04B   0.000
05A   0.070
05B   0.000
06A   0.000
06B   0.209
07A -99.999
07B -99.999
08A   0.000
08B   0.003
09A   0.000
09B   0.000
10A   0.000
10B   0.000
11A   0.130
11B   0.178
12A   0.000
12B   0.000
13A   0.278
13B   0.309
14A -99.999
14B -99.999
15A   0.227
15B   0.245
16A   0.000
16B   0.000
17A   0.000
17B   0.000
18A   0.149
18B   0.000
19A   0.000
19B   0.000
20A   0.004
20B   0.042
21A   1.278
21B   1.208
22A -99.999
22B -99.999
23A   0.000
23B   0.010
24A   0.000
24B   0.120
25A   0.026
25B   0.000
26A   0.574
26B   0.193
27A   0.198
27B   0.182
28A   0.000
28B   0.180
29A   1.654
29B   1.322
30A   0.919
30B   0.978
31A -99.999
31B -99.999
32A   0.039
32B   0.084
33A   0.242
33B   0.219
34A   0.091
34B   0.000
35A   0.131
35B   0.127
36A   0.018
36B   0.000
37A   0.000
37B   0.000
38A   1.681
38B   1.549
39A   1.165
39B   0.908
40A   0.938
40B   0.970
41A   0.296
41B   0.052
42A   0.026
42B   0.031
43A   0.205
43B   0.206
44A   0.368
44B   0.402
45A   0.877
45B   0.568
46A   0.954
46B   0.931
47A   1.538
47B   1.791
48A   1.231
48B   1.001
49A   0.868
49B   0.984
50A   0.975
50B   0.934
51A   0.152
51B   0.149
52A   0.457
52B   0.318
53A   0.591
53B   0.454
54A   0.825
54B   0.857
55A   0.856
55B   0.751
56A   1.169
56B   1.137
57A   0.744
57B   0.416
58A   0.873
58B   0.936
59A   1.065
59B   1.272
60A   0.394
60B   0.267
61A   0.338
61B   0.280
62A   0.495
62B   0.343
63A   0.449
63B   0.354
64A   1.139
64B   1.157
65A   0.927
65B   1.107
66A   0.955
66B   1.105
67A   0.890
67B   1.141
68A   0.509
68B   0.447
69A   0.269
69B   0.471
70A   0.404
70B   0.393
71A   0.954
71B   0.971
72A   0.677
72B   0.657
73A   0.702
73B   0.769
74A   0.774
74B   0.950
75A   0.332
75B   0.400
76A   0.431
76B   0.457
77A   0.826
77B   0.552
78A   0.647
78B   0.570
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
