2010-11-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.000
03A   0.009
03B   0.000
04A   0.118
04B   0.014
05A   0.094
05B   0.000
06A   0.187
06B   0.339
07A -99.999
07B -99.999
08A   0.044
08B   0.000
09A   0.000
09B   0.000
10A   0.054
10B   0.000
11A   0.124
11B   0.110
12A   0.000
12B   0.000
13A   0.290
13B   0.442
14A -99.999
14B -99.999
15A   0.307
15B   0.311
16A   0.096
16B   0.000
17A   0.061
17B   0.000
18A   0.090
18B   0.000
19A   0.006
19B   0.039
20A   0.000
20B   0.000
21A   1.453
21B   1.297
22A -99.999
22B -99.999
23A   0.021
23B   0.044
24A   0.221
24B   0.325
25A   0.338
25B   0.313
26A   0.859
26B   0.564
27A   0.310
27B   0.250
28A   0.124
28B   0.329
29A   1.685
29B   1.421
30A   0.974
30B   1.140
31A -99.999
31B -99.999
32A   0.206
32B   0.134
33A   0.221
33B   0.289
34A   0.267
34B   0.150
35A   0.214
35B   0.366
36A   0.174
36B   0.226
37A   0.008
37B   0.000
38A   1.632
38B   1.502
39A   1.534
39B   1.483
40A   1.068
40B   1.082
41A   0.388
41B   0.352
42A   0.084
42B   0.219
43A   0.356
43B   0.414
44A   0.639
44B   0.519
45A   1.117
45B   0.952
46A   1.197
46B   1.175
47A   1.441
47B   1.732
48A   1.371
48B   1.120
49A   1.002
49B   1.209
50A   1.101
50B   1.022
51A   0.312
51B   0.337
52A   0.542
52B   0.423
53A   0.694
53B   0.578
54A   1.000
54B   1.042
55A   0.940
55B   0.887
56A   1.414
56B   1.371
57A   1.412
57B   1.128
58A   0.976
58B   1.075
59A   1.132
59B   1.348
60A   0.462
60B   0.530
61A   0.411
61B   0.383
62A   0.423
62B   0.483
63A   0.559
63B   0.512
64A   1.275
64B   1.148
65A   1.021
65B   1.000
66A   1.100
66B   1.231
67A   1.045
67B   1.178
68A   0.698
68B   0.577
69A   0.405
69B   0.509
70A   0.617
70B   0.594
71A   0.974
71B   0.994
72A   0.771
72B   0.687
73A   0.911
73B   0.977
74A   0.923
74B   0.927
75A   0.421
75B   0.577
76A   0.556
76B   0.515
77A   0.989
77B   0.805
78A   0.609
78B   0.451
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
