2010-07-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.000
03A   0.000
03B   0.000
04A   0.020
04B   0.000
05A   0.001
05B   0.000
06A   0.000
06B   0.235
07A -99.999
07B -99.999
08A   0.000
08B   0.000
09A   0.000
09B   0.000
10A   0.000
10B   0.000
11A   0.004
11B   0.078
12A   0.000
12B   0.000
13A   0.253
13B   0.225
14A -99.999
14B -99.999
15A   0.263
15B   0.154
16A   0.000
16B   0.000
17A   0.000
17B   0.000
18A   0.107
18B   0.000
19A   0.000
19B   0.000
20A   0.000
20B   0.000
21A   1.207
21B   1.160
22A -99.999
22B -99.999
23A   0.000
23B   0.000
24A   0.000
24B   0.118
25A   0.010
25B   0.000
26A   0.548
26B   0.219
27A   0.220
27B   0.196
28A   0.000
28B   0.252
29A   1.641
29B   1.285
30A   0.858
30B   0.975
31A -99.999
31B -99.999
32A   0.038
32B   0.035
33A   0.154
33B   0.174
34A   0.168
34B   0.000
35A   0.136
35B   0.218
36A   0.004
36B   0.000
37A   0.000
37B   0.000
38A   1.490
38B   1.369
39A   1.234
39B   1.029
40A   0.909
40B   0.918
41A   0.271
41B   0.127
42A   0.000
42B   0.000
43A   0.137
43B   0.149
44A   0.386
44B   0.343
45A   0.971
45B   0.560
46A   0.979
46B   0.937
47A   1.412
47B   1.648
48A   1.225
48B   0.993
49A   0.813
49B   0.942
50A   0.974
50B   0.977
51A   0.118
51B   0.124
52A   0.343
52B   0.264
53A   0.512
53B   0.425
54A   0.768
54B   0.827
55A   0.822
55B   0.778
56A   1.203
56B   1.160
57A   0.757
57B   0.451
58A   0.824
58B   0.857
59A   0.973
59B   1.166
60A   0.334
60B   0.231
61A   0.276
61B   0.270
62A   0.390
62B   0.317
63A   0.399
63B   0.350
64A   1.144
64B   1.122
65A   0.792
65B   1.001
66A   0.962
66B   1.096
67A   0.886
67B   1.026
68A   0.430
68B   0.349
69A   0.257
69B   0.362
70A   0.376
70B   0.359
71A   0.870
71B   0.856
72A   0.594
72B   0.499
73A   0.646
73B   0.815
74A   0.700
74B   0.824
75A   0.310
75B   0.395
76A   0.389
76B   0.330
77A   0.740
77B   0.509
78A   0.493
78B   0.375
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
