2010-05-01 00:00:00
01A -99.999
01B -99.999
02A   0.054
02B   0.067
03A   0.085
03B   0.000
04A   0.045
04B   0.000
05A   0.068
05B   0.000
06A   0.026
06B   0.183
07A -99.999
07B -99.999
08A   0.000
08B   0.008
09A   0.097
09B   0.086
10A   0.120
10B   0.045
11A   0.056
11B   0.141
12A   0.000
12B   0.017
13A   0.374
13B   0.377
14A -99.999
14B -99.999
15A   0.342
15B   0.142
16A   0.000
16B   0.113
17A   0.000
17B   0.000
18A   0.161
18B   0.003
19A   0.000
19B   0.000
20A   0.103
20B   0.078
21A   1.213
21B   1.302
22A -99.999
22B -99.999
23A   0.000
23B   0.175
24A   0.052
24B   0.014
25A   0.000
25B   0.000
26A   0.462
26B   0.038
27A   0.176
27B   0.169
28A   0.000
28B   0.150
29A   1.798
29B   1.472
30A   0.970
30B   1.125
31A -99.999
31B -99.999
32A   0.023
32B   0.000
33A   0.000
33B   0.181
34A   0.251
34B   0.000
35A   0.043
35B   0.102
36A   0.030
36B   0.000
37A   0.092
37B   0.051
38A   1.607
38B   1.664
39A   1.085
39B   1.014
40A   1.009
40B   1.036
41A   0.291
41B   0.049
42A   0.134
42B   0.042
43A   0.000
43B   0.000
44A   0.471
44B   0.356
45A   0.935
45B   0.631
46A   0.978
46B   0.913
47A   1.374
47B   1.698
48A   1.210
48B   0.998
49A   0.883
49B   1.114
50A   1.077
50B   1.014
51A   0.114
51B   0.154
52A   0.439
52B   0.397
53A   0.617
53B   0.507
54A   0.809
54B   0.852
55A   0.852
55B   0.814
56A   1.172
56B   1.128
57A   0.716
57B   0.349
58A   0.981
58B   1.031
59A   1.050
59B   1.273
60A   0.294
60B   0.267
61A   0.342
61B   0.346
62A   0.442
62B   0.282
63A   0.492
63B   0.432
64A   1.111
64B   1.036
65A   0.928
65B   1.018
66A   1.046
66B   1.126
67A   0.892
67B   1.118
68A   0.559
68B   0.417
69A   0.276
69B   0.382
70A   0.393
70B   0.523
71A   1.022
71B   1.070
72A   0.609
72B   0.576
73A   0.707
73B   0.849
74A   0.831
74B   0.924
75A   0.366
75B   0.469
76A   0.445
76B   0.430
77A   0.833
77B   0.573
78A   0.712
78B   0.600
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
