2010-12-01 00:00:00
01A -99.999
01B -99.999
02A   0.102
02B   0.064
03A   0.080
03B   0.049
04A   0.211
04B   0.092
05A   0.133
05B   0.070
06A   0.326
06B   0.365
07A -99.999
07B -99.999
08A   0.173
08B   0.119
09A   0.091
09B   0.028
10A   0.126
10B   0.100
11A   0.192
11B   0.211
12A   0.047
12B   0.024
13A   0.412
13B   0.474
14A -99.999
14B -99.999
15A   0.332
15B   0.386
16A   0.237
16B   0.065
17A   0.137
17B   0.012
18A   0.161
18B   0.017
19A   0.179
19B   0.162
20A   0.051
20B   0.078
21A   1.603
21B   1.496
22A -99.999
22B -99.999
23A   0.112
23B   0.143
24A   0.296
24B   0.458
25A   0.470
25B   0.411
26A   0.983
26B   0.742
27A   0.332
27B   0.264
28A   0.192
28B   0.471
29A   1.822
29B   1.579
30A   1.045
30B   1.226
31A -99.999
31B -99.999
32A   0.327
32B   0.267
33A   0.365
33B   0.401
34A   0.336
34B   0.286
35A   0.339
35B   0.510
36A   0.202
36B   0.333
37A   0.056
37B   0.037
38A   1.712
38B   1.702
39A   1.697
39B   1.531
40A   1.167
40B   1.184
41A   0.502
41B   0.469
42A   0.232
42B   0.335
43A   0.435
43B   0.584
44A   0.735
44B   0.685
45A   1.207
45B   1.055
46A   1.277
46B   1.333
47A   1.540
47B   1.930
48A   1.464
48B   1.361
49A   1.151
49B   1.305
50A   1.249
50B   1.218
51A   0.382
51B   0.446
52A   0.635
52B   0.584
53A   0.835
53B   0.718
54A   1.194
54B   1.101
55A   0.992
55B   1.008
56A   1.631
56B   1.476
57A   1.470
57B   1.337
58A   1.131
58B   1.240
59A   1.209
59B   1.373
60A   0.578
60B   0.695
61A   0.542
61B   0.525
62A   0.569
62B   0.564
63A   0.704
63B   0.654
64A   1.370
64B   1.142
65A   1.171
65B   1.212
66A   1.249
66B   1.363
67A   1.136
67B   1.240
68A   0.842
68B   0.733
69A   0.533
69B   0.628
70A   0.778
70B   0.717
71A   1.073
71B   1.069
72A   0.932
72B   0.789
73A   1.016
73B   1.082
74A   1.025
74B   0.990
75A   0.544
75B   0.646
76A   0.689
76B   0.595
77A   1.133
77B   0.876
78A   0.603
78B   0.578
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
