2010-09-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.000
03A   0.018
03B   0.000
04A   0.078
04B   0.000
05A   0.091
05B   0.000
06A   0.111
06B   0.287
07A -99.999
07B -99.999
08A   0.028
08B   0.034
09A   0.000
09B   0.000
10A   0.000
10B   0.000
11A   0.051
11B   0.094
12A   0.000
12B   0.000
13A   0.278
13B   0.386
14A -99.999
14B -99.999
15A   0.297
15B   0.253
16A   0.020
16B   0.000
17A   0.000
17B   0.000
18A   0.138
18B   0.000
19A   0.000
19B   0.000
20A   0.000
20B   0.008
21A   1.313
21B   1.288
22A -99.999
22B -99.999
23A   0.000
23B   0.029
24A   0.208
24B   0.236
25A   0.214
25B   0.243
26A   0.788
26B   0.405
27A   0.265
27B   0.223
28A   0.022
28B   0.349
29A   1.631
29B   1.360
30A   0.933
30B   1.113
31A -99.999
31B -99.999
32A   0.132
32B   0.151
33A   0.176
33B   0.262
34A   0.216
34B   0.098
35A   0.210
35B   0.413
36A   0.126
36B   0.115
37A   0.000
37B   0.000
38A   1.566
38B   1.530
39A   1.417
39B   1.357
40A   1.002
40B   0.980
41A   0.365
41B   0.253
42A   0.167
42B   0.170
43A   0.243
43B   0.315
44A   0.553
44B   0.497
45A   1.186
45B   0.895
46A   1.124
46B   1.045
47A   1.331
47B   1.748
48A   1.335
48B   1.038
49A   0.827
49B   1.034
50A   1.054
50B   1.015
51A   0.272
51B   0.282
52A   0.459
52B   0.328
53A   0.672
53B   0.494
54A   0.943
54B   1.006
55A   0.915
55B   0.882
56A   1.323
56B   1.355
57A   1.091
57B   0.918
58A   0.857
58B   1.008
59A   1.049
59B   1.298
60A   0.339
60B   0.504
61A   0.432
61B   0.319
62A   0.503
62B   0.402
63A   0.512
63B   0.455
64A   1.183
64B   1.141
65A   0.854
65B   0.961
66A   1.082
66B   1.236
67A   0.996
67B   1.116
68A   0.709
68B   0.469
69A   0.407
69B   0.422
70A   0.526
70B   0.545
71A   0.922
71B   0.999
72A   0.636
72B   0.592
73A   0.945
73B   0.981
74A   0.884
74B   0.836
75A   0.476
75B   0.525
76A   0.538
76B   0.514
77A   0.995
77B   0.758
78A   0.597
78B   0.409
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
