2010-04-01 00:00:00
01A -99.999
01B -99.999
02A   0.092
02B   0.062
03A   0.050
03B   0.006
04A   0.065
04B   0.000
05A   0.128
05B   0.043
06A   0.069
06B   0.157
07A -99.999
07B -99.999
08A   0.033
08B   0.000
09A   0.052
09B   0.085
10A   0.083
10B   0.140
11A   0.060
11B   0.173
12A   0.000
12B   0.003
13A   0.283
13B   0.363
14A -99.999
14B -99.999
15A   0.194
15B   0.206
16A   0.000
16B   0.096
17A   0.000
17B   0.000
18A   0.172
18B   0.017
19A   0.000
19B   0.000
20A   0.000
20B   0.062
21A   1.308
21B   1.297
22A -99.999
22B -99.999
23A   0.039
23B   0.154
24A   0.176
24B   0.147
25A   0.000
25B   0.000
26A   0.333
26B   0.058
27A   0.153
27B   0.155
28A   0.000
28B   0.107
29A   1.668
29B   1.369
30A   0.875
30B   1.052
31A -99.999
31B -99.999
32A   0.000
32B   0.000
33A   0.000
33B   0.092
34A   0.102
34B   0.000
35A   0.035
35B   0.000
36A   0.101
36B   0.000
37A   0.105
37B   0.029
38A   1.610
38B   1.588
39A   1.081
39B   0.933
40A   0.973
40B   1.067
41A   0.124
41B   0.106
42A   0.132
42B   0.014
43A   0.077
43B   0.000
44A   0.457
44B   0.256
45A   0.878
45B   0.613
46A   0.890
46B   0.848
47A   1.428
47B   1.716
48A   1.244
48B   1.000
49A   0.923
49B   1.103
50A   1.020
50B   0.945
51A   0.090
51B   0.120
52A   0.347
52B   0.364
53A   0.586
53B   0.522
54A   0.821
54B   0.786
55A   0.855
55B   0.810
56A   1.225
56B   1.257
57A   0.561
57B   0.289
58A   0.958
58B   0.899
59A   0.967
59B   1.247
60A   0.317
60B   0.300
61A   0.296
61B   0.355
62A   0.457
62B   0.266
63A   0.432
63B   0.400
64A   1.054
64B   1.065
65A   0.876
65B   0.965
66A   0.904
66B   1.139
67A   0.769
67B   1.035
68A   0.498
68B   0.429
69A   0.302
69B   0.260
70A   0.427
70B   0.519
71A   0.971
71B   0.998
72A   0.657
72B   0.632
73A   0.706
73B   0.783
74A   0.778
74B   0.843
75A   0.346
75B   0.421
76A   0.375
76B   0.448
77A   0.844
77B   0.566
78A   0.702
78B   0.564
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
