2010-10-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.000
03A   0.022
03B   0.000
04A   0.133
04B   0.000
05A   0.112
05B   0.000
06A   0.136
06B   0.313
07A -99.999
07B -99.999
08A   0.030
08B   0.028
09A   0.000
09B   0.000
10A   0.016
10B   0.000
11A   0.142
11B   0.143
12A   0.000
12B   0.000
13A   0.321
13B   0.467
14A -99.999
14B -99.999
15A   0.292
15B   0.325
16A   0.076
16B   0.000
17A   0.018
17B   0.000
18A   0.178
18B   0.000
19A   0.000
19B   0.040
20A   0.000
20B   0.036
21A   1.389
21B   1.357
22A -99.999
22B -99.999
23A   0.000
23B   0.047
24A   0.161
24B   0.314
25A   0.246
25B   0.216
26A   0.760
26B   0.478
27A   0.287
27B   0.236
28A   0.107
28B   0.382
29A   1.703
29B   1.494
30A   0.941
30B   1.081
31A -99.999
31B -99.999
32A   0.125
32B   0.143
33A   0.193
33B   0.303
34A   0.232
34B   0.029
35A   0.219
35B   0.388
36A   0.176
36B   0.154
37A   0.047
37B   0.000
38A   1.572
38B   1.514
39A   1.487
39B   1.480
40A   1.066
40B   1.003
41A   0.355
41B   0.342
42A   0.148
42B   0.176
43A   0.269
43B   0.345
44A   0.623
44B   0.473
45A   1.130
45B   0.862
46A   1.145
46B   1.163
47A   1.551
47B   1.769
48A   1.394
48B   1.102
49A   0.967
49B   1.138
50A   1.086
50B   1.029
51A   0.270
51B   0.317
52A   0.486
52B   0.420
53A   0.687
53B   0.506
54A   1.018
54B   0.948
55A   0.913
55B   0.870
56A   1.318
56B   1.422
57A   1.198
57B   0.937
58A   0.912
58B   1.062
59A   1.094
59B   1.344
60A   0.417
60B   0.458
61A   0.400
61B   0.389
62A   0.530
62B   0.458
63A   0.496
63B   0.436
64A   1.203
64B   1.308
65A   0.935
65B   1.003
66A   1.154
66B   1.287
67A   1.027
67B   1.203
68A   0.724
68B   0.495
69A   0.468
69B   0.446
70A   0.578
70B   0.533
71A   0.947
71B   0.973
72A   0.731
72B   0.649
73A   0.953
73B   0.961
74A   0.915
74B   0.936
75A   0.414
75B   0.524
76A   0.549
76B   0.490
77A   1.008
77B   0.794
78A   0.596
78B   0.392
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
