"Time (UTC)","Sensor output (cm)","Quality parameter","Temperature (°C)","Corrected distance (cm)","Snow height (cm)"
"2021-04-12 12:10:09","106.80 ± 1.00","190.33","-59.3","94.50 ± 1.00","107.30 ± 1.00"
"2021-04-12 00:10:10","107.20 ± 1.00","190.33","-61.3","94.42 ± 1.00","107.38 ± 1.00"
"2021-04-11 12:10:07","107.67 ± 1.00","187.00","-66.1","93.73 ± 1.00","108.07 ± 1.00"
"2021-04-11 00:10:09","107.63 ± 1.00","189.00","-63.4","94.32 ± 1.00","107.48 ± 1.00"
"2021-04-10 12:10:09","106.73 ± 1.00","185.67","-63.0","93.61 ± 1.00","108.19 ± 1.00"
"2021-04-10 00:10:09","106.77 ± 1.00","186.33","-58.8","94.58 ± 1.00","107.22 ± 1.00"
"2021-04-09 12:10:10","99.57 ± 1.00","192.67","-58.7","88.21 ± 1.00","113.59 ± 1.00"
"2021-04-09 00:10:10","90.93 ± 1.00","193.33","-62.5","79.86 ± 1.00","121.94 ± 1.00"
"2021-04-08 12:10:09","107.60 ± 1.00","190.67","-62.3","94.55 ± 1.00","107.25 ± 1.00"
"2021-04-08 00:10:09","108.10 ± 1.00","189.33","-68.1","93.66 ± 1.00","108.14 ± 1.00"
"2021-04-07 12:10:09","109.03 ± 1.00","184.67","-68.3","94.42 ± 1.00","107.38 ± 1.00"
"2021-04-07 00:10:09","108.50 ± 1.00","190.00","-66.0","94.48 ± 1.00","107.32 ± 1.00"
"2021-04-06 12:10:09","108.27 ± 1.00","193.00","-64.8","94.56 ± 1.00","107.24 ± 1.00"
"2021-04-06 00:10:10","108.23 ± 1.00","189.67","-63.9","94.74 ± 1.00","107.06 ± 1.00"
"2021-04-05 12:10:10","106.80 ± 1.00","186.00","-61.9","93.92 ± 1.00","107.88 ± 1.00"
"2021-04-05 00:10:09","106.33 ± 1.00","192.67","-57.8","94.42 ± 1.00","107.38 ± 1.00"
"2021-04-04 12:10:09","105.73 ± 1.00","189.33","-55.5","94.39 ± 1.00","107.41 ± 1.00"
"2021-04-04 00:10:09","105.97 ± 1.00","184.33","-55.4","94.62 ± 1.00","107.18 ± 1.00"
"2021-04-03 12:10:10","105.27 ± 1.00","188.67","-54.2","94.25 ± 1.00","107.55 ± 1.00"
"2021-04-03 00:10:09","106.20 ± 1.00","192.00","-60.4","93.73 ± 1.00","108.07 ± 1.00"
"2021-04-02 12:10:09","105.60 ± 1.00","184.67","-57.2","93.89 ± 1.00","107.91 ± 1.00"
"2021-04-02 00:10:07","104.73 ± 1.00","174.67","-50.8","94.49 ± 1.00","107.31 ± 1.00"
"2021-04-01 12:10:09","104.00 ± 1.00","172.67","-47.3","94.56 ± 1.00","107.24 ± 1.00"
"2021-04-01 00:10:09","105.73 ± 1.00","180.00","-55.2","94.45 ± 1.00","107.35 ± 1.00"
"2021-03-31 12:10:10","105.30 ± 1.00","178.33","-53.2","94.50 ± 1.00","107.30 ± 1.00"
"2021-03-31 00:10:09","106.13 ± 1.00","176.33","-55.0","94.85 ± 1.00","106.95 ± 1.00"
"2021-03-30 12:10:09","104.73 ± 1.00","186.33","-50.9","94.48 ± 1.00","107.32 ± 1.00"
"2021-03-30 00:10:09","101.00 ± 1.00","203.00","-54.1","90.45 ± 1.00","111.35 ± 1.00"
"2021-03-29 12:10:09","104.77 ± 1.00","194.67","-59.5","92.65 ± 1.00","109.15 ± 1.00"
"2021-03-29 00:10:10","106.50 ± 1.00","192.33","-57.6","94.61 ± 1.00","107.19 ± 1.00"
"2021-03-28 12:10:10","107.40 ± 1.00","193.33","-60.8","94.69 ± 1.00","107.11 ± 1.00"
"2021-03-28 00:10:09","104.87 ± 1.00","194.67","-60.7","92.49 ± 1.00","109.31 ± 1.00"
"2021-03-27 12:10:09","106.50 ± 1.00","193.00","-58.8","94.34 ± 1.00","107.46 ± 1.00"
"2021-03-27 00:10:10","104.53 ± 1.00","195.67","-53.0","93.85 ± 1.00","107.95 ± 1.00"
"2021-03-26 12:10:10","105.70 ± 1.00","192.67","-55.0","94.46 ± 1.00","107.34 ± 1.00"
"2021-03-26 00:10:09","106.20 ± 1.00","193.00","-55.7","94.75 ± 1.00","107.05 ± 1.00"
"2021-03-25 12:10:09","104.83 ± 1.00","193.00","-50.0","94.76 ± 1.00","107.04 ± 1.00"
"2021-03-25 00:10:09","105.30 ± 1.00","193.00","-51.9","94.77 ± 1.00","107.03 ± 1.00"
"2021-03-24 12:10:09","105.23 ± 1.00","192.00","-51.3","94.84 ± 1.00","106.96 ± 1.00"
"2021-03-24 00:10:10","105.67 ± 1.00","193.00","-52.3","95.02 ± 1.00","106.78 ± 1.00"
"2021-03-23 12:10:09","103.10 ± 1.00","186.33","-42.0","94.85 ± 1.00","106.95 ± 1.00"
"2021-03-23 00:10:07","103.57 ± 1.00","189.33","-43.5","94.96 ± 1.00","106.84 ± 1.00"
"2021-03-22 12:10:09","104.00 ± 1.00","186.67","-45.4","94.96 ± 1.00","106.84 ± 1.00"
"2021-03-22 00:10:10","103.70 ± 1.00","190.67","-45.4","94.69 ± 1.00","107.11 ± 1.00"
"2021-03-21 12:10:07","103.50 ± 1.00","187.33","-43.6","94.87 ± 1.00","106.93 ± 1.00"
"2021-03-21 00:10:09","104.53 ± 1.00","191.33","-48.0","94.91 ± 1.00","106.89 ± 1.00"
"2021-03-20 12:10:10","104.77 ± 1.00","192.33","-49.5","94.79 ± 1.00","107.01 ± 1.00"
"2021-03-20 00:10:09","103.73 ± 1.00","189.67","-44.8","94.85 ± 1.00","106.95 ± 1.00"
"2021-03-19 12:10:09","104.10 ± 1.00","192.33","-46.5","94.83 ± 1.00","106.97 ± 1.00"
"2021-03-19 00:10:09","105.70 ± 1.00","192.00","-52.7","94.96 ± 1.00","106.84 ± 1.00"
"2021-03-18 12:10:09","105.00 ± 1.00","192.67","-50.3","94.84 ± 1.00","106.96 ± 1.00"
"2021-03-18 00:10:10","106.13 ± 1.00","190.33","-55.9","94.64 ± 1.00","107.16 ± 1.00"
"2021-03-17 12:10:10","105.83 ± 1.00","191.00","-55.3","94.51 ± 1.00","107.29 ± 1.00"
"2021-03-17 00:10:09","106.00 ± 1.00","192.67","-55.5","94.62 ± 1.00","107.18 ± 1.00"
"2021-03-16 12:10:09","105.80 ± 1.00","192.00","-52.9","95.00 ± 1.00","106.80 ± 1.00"
"2021-03-16 00:10:09","105.10 ± 1.00","190.67","-50.6","94.88 ± 1.00","106.92 ± 1.00"
"2021-03-15 12:10:10","105.23 ± 1.00","173.00","-51.7","94.75 ± 1.00","107.05 ± 1.00"
"2021-03-15 00:10:10","106.40 ± 1.00","192.00","-57.2","94.61 ± 1.00","107.19 ± 1.00"
"2021-03-14 12:10:09","107.00 ± 1.00","180.00","-57.8","95.00 ± 1.00","106.80 ± 1.00"
"2021-03-14 00:10:09","106.63 ± 1.00","181.33","-55.6","95.16 ± 1.00","106.64 ± 1.00"
"2021-03-13 12:10:09","106.20 ± 1.00","191.00","-56.3","94.62 ± 1.00","107.18 ± 1.00"
"2021-03-13 00:10:09","105.80 ± 1.00","181.33","-58.1","93.88 ± 1.00","107.92 ± 1.00"
"2021-03-12 12:10:10","105.57 ± 1.00","192.00","-56.1","94.11 ± 1.00","107.69 ± 1.00"
"2021-03-12 00:10:10","107.03 ± 1.00","191.00","-59.2","94.72 ± 1.00","107.08 ± 1.00"
"2021-03-11 12:10:09","106.00 ± 1.00","192.33","-55.6","94.60 ± 1.00","107.20 ± 1.00"
"2021-03-11 00:10:09","106.50 ± 1.00","192.00","-57.5","94.63 ± 1.00","107.17 ± 1.00"
"2021-03-10 12:10:10","106.87 ± 1.00","188.00","-59.1","94.59 ± 1.00","107.21 ± 1.00"
"2021-03-10 00:10:09","106.33 ± 1.00","191.00","-56.1","94.78 ± 1.00","107.02 ± 1.00"
"2021-03-09 12:10:09","106.13 ± 1.00","188.00","-55.2","94.81 ± 1.00","106.99 ± 1.00"
"2021-03-09 00:10:09","105.80 ± 1.00","192.67","-54.1","94.75 ± 1.00","107.05 ± 1.00"
"2021-03-08 12:10:09","105.20 ± 1.00","192.00","-51.3","94.81 ± 1.00","106.99 ± 1.00"
"2021-03-08 00:10:10","104.10 ± 1.00","192.00","-46.5","94.83 ± 1.00","106.97 ± 1.00"
"2021-03-07 12:10:10","101.83 ± 1.00","173.67","-42.6","93.55 ± 1.00","108.25 ± 1.00"
"2021-03-07 00:10:09","103.23 ± 1.00","189.33","-42.7","94.82 ± 1.00","106.98 ± 1.00"
"2021-03-06 12:10:07","103.37 ± 1.00","192.00","-42.8","94.93 ± 1.00","106.87 ± 1.00"
"2021-03-06 00:10:09","104.70 ± 1.00","192.00","-49.9","94.66 ± 1.00","107.14 ± 1.00"
"2021-03-05 12:10:10","104.10 ± 1.00","190.33","-48.3","94.46 ± 1.00","107.34 ± 1.00"
"2021-03-05 00:10:09","103.33 ± 1.00","192.00","-42.3","95.00 ± 1.00","106.80 ± 1.00"
"2021-03-04 12:10:10","103.53 ± 1.00","192.00","-42.6","95.12 ± 1.00","106.68 ± 1.00"
"2021-03-04 00:10:10","104.33 ± 1.00","192.00","-46.9","94.96 ± 1.00","106.84 ± 1.00"
"2021-03-03 12:10:09","104.17 ± 1.00","192.00","-46.2","94.94 ± 1.00","106.86 ± 1.00"
"2021-03-03 00:10:07","104.80 ± 1.00","190.33","-49.5","94.84 ± 1.00","106.96 ± 1.00"
"2021-03-02 12:10:10","104.63 ± 1.00","192.00","-48.2","94.95 ± 1.00","106.85 ± 1.00"
"2021-03-02 00:10:10","104.23 ± 1.00","192.00","-46.1","95.03 ± 1.00","106.77 ± 1.00"
"2021-03-01 12:10:09","104.30 ± 1.00","192.00","-46.1","95.10 ± 1.00","106.70 ± 1.00"
"2021-03-01 00:10:09","105.00 ± 1.00","192.00","-50.7","94.76 ± 1.00","107.04 ± 1.00"
"2021-02-28 12:10:09","105.10 ± 1.00","192.00","-50.3","94.92 ± 1.00","106.88 ± 1.00"
"2021-02-28 00:10:07","104.80 ± 1.00","192.00","-49.9","94.74 ± 1.00","107.06 ± 1.00"
"2021-02-27 12:10:10","104.10 ± 1.00","192.00","-46.4","94.84 ± 1.00","106.96 ± 1.00"
"2021-02-27 00:10:09","105.63 ± 1.00","192.00","-53.6","94.71 ± 1.00","107.09 ± 1.00"
"2021-02-26 12:10:09","105.33 ± 1.00","192.00","-52.8","94.61 ± 1.00","107.19 ± 1.00"
"2021-02-26 00:10:09","105.10 ± 1.00","192.00","-53.3","94.28 ± 1.00","107.52 ± 1.00"
"2021-02-25 12:10:09","104.43 ± 1.00","192.00","-47.3","94.96 ± 1.00","106.84 ± 1.00"
"2021-02-25 00:10:10","103.97 ± 1.00","192.00","-46.2","94.77 ± 1.00","107.03 ± 1.00"
"2021-02-24 12:10:10","104.40 ± 1.00","192.00","-48.5","94.67 ± 1.00","107.13 ± 1.00"
"2021-02-24 00:10:09","103.90 ± 1.00","192.00","-45.4","94.87 ± 1.00","106.93 ± 1.00"
"2021-02-23 12:10:09","104.03 ± 1.00","187.00","-46.2","94.83 ± 1.00","106.97 ± 1.00"
"2021-02-23 00:10:09","104.27 ± 1.00","183.33","-46.7","94.94 ± 1.00","106.86 ± 1.00"
"2021-02-22 12:10:10","104.00 ± 1.00","191.33","-46.9","94.65 ± 1.00","107.15 ± 1.00"
"2021-02-22 00:10:10","104.40 ± 1.00","191.33","-49.8","94.40 ± 1.00","107.40 ± 1.00"
"2021-02-21 12:10:09","104.67 ± 1.00","189.67","-50.7","94.45 ± 1.00","107.35 ± 1.00"
"2021-02-21 00:10:09","104.47 ± 1.00","182.33","-49.3","94.57 ± 1.00","107.23 ± 1.00"
"2021-02-20 12:10:09","104.00 ± 1.00","179.67","-47.0","94.62 ± 1.00","107.18 ± 1.00"
"2021-02-20 00:10:10","104.37 ± 1.00","187.00","-47.9","94.77 ± 1.00","107.03 ± 1.00"
"2021-02-19 12:10:10","104.23 ± 1.00","184.67","-47.4","94.76 ± 1.00","107.04 ± 1.00"
"2021-02-19 00:10:09","103.60 ± 1.00","185.00","-45.0","94.67 ± 1.00","107.13 ± 1.00"
"2021-02-18 12:10:09","104.27 ± 1.00","182.67","-47.9","94.68 ± 1.00","107.12 ± 1.00"
"2021-02-18 00:10:09","104.80 ± 1.00","182.67","-49.3","94.86 ± 1.00","106.94 ± 1.00"
"2021-02-17 12:10:10","104.17 ± 1.00","174.33","-46.7","94.85 ± 1.00","106.95 ± 1.00"
"2021-02-17 00:10:09","104.30 ± 1.00","190.33","-47.0","94.91 ± 1.00","106.89 ± 1.00"
"2021-02-16 12:10:09","104.80 ± 1.00","192.00","-47.9","95.16 ± 1.00","106.64 ± 1.00"
"2021-02-16 00:10:09","103.33 ± 1.00","180.33","-42.8","94.89 ± 1.00","106.91 ± 1.00"
"2021-02-15 12:10:10","103.00 ± 1.00","192.00","-41.6","94.83 ± 1.00","106.97 ± 1.00"
"2021-02-15 00:10:09","102.90 ± 1.00","192.00","-41.4","94.77 ± 1.00","107.03 ± 1.00"
"2021-02-14 12:10:09","103.27 ± 1.00","191.67","-42.7","94.85 ± 1.00","106.95 ± 1.00"
"2021-02-14 00:10:09","103.00 ± 1.00","192.00","-41.7","94.82 ± 1.00","106.98 ± 1.00"
"2021-02-13 12:10:10","102.93 ± 1.00","190.67","-42.0","94.68 ± 1.00","107.12 ± 1.00"
"2021-02-13 00:10:09","102.77 ± 1.00","191.67","-40.3","94.89 ± 1.00","106.91 ± 1.00"
"2021-02-12 12:10:09","102.70 ± 1.00","191.33","-41.1","94.66 ± 1.00","107.14 ± 1.00"
"2021-02-12 00:10:09","102.37 ± 1.00","191.67","-38.6","94.86 ± 1.00","106.94 ± 1.00"
"2021-02-11 12:10:10","102.10 ± 1.00","191.67","-37.4","94.86 ± 1.00","106.94 ± 1.00"
"2021-02-11 00:10:10","102.00 ± 1.00","190.67","-37.0","94.84 ± 1.00","106.96 ± 1.00"
"2021-02-10 12:10:09","102.13 ± 1.00","190.33","-37.6","94.83 ± 1.00","106.97 ± 1.00"
"2021-02-10 00:10:09","102.77 ± 1.00","178.00","-39.8","94.98 ± 1.00","106.82 ± 1.00"
"2021-02-09 12:10:09","102.93 ± 1.00","179.00","-41.5","94.79 ± 1.00","107.01 ± 1.00"
"2021-02-09 00:10:10","103.00 ± 1.00","177.33","-41.1","94.93 ± 1.00","106.87 ± 1.00"
"2021-02-08 12:10:09","103.10 ± 1.00","183.00","-41.0","95.06 ± 1.00","106.74 ± 1.00"
"2021-02-08 00:10:09","102.60 ± 1.00","175.33","-38.8","95.03 ± 1.00","106.77 ± 1.00"
"2021-02-07 12:10:09","102.03 ± 1.00","182.67","-37.5","94.78 ± 1.00","107.02 ± 1.00"
"2021-02-07 00:10:10","102.63 ± 1.00","181.67","-39.3","94.97 ± 1.00","106.83 ± 1.00"
"2021-02-06 12:10:09","102.23 ± 1.00","183.00","-39.0","94.65 ± 1.00","107.15 ± 1.00"
"2021-02-06 00:10:09","102.80 ± 1.00","191.33","-39.1","95.16 ± 1.00","106.64 ± 1.00"
"2021-02-05 12:10:09","102.40 ± 1.00","183.33","-38.2","94.97 ± 1.00","106.83 ± 1.00"
"2021-02-05 00:10:09","101.93 ± 1.00","178.67","-36.0","94.97 ± 1.00","106.83 ± 1.00"
"2021-02-04 12:10:09","101.50 ± 1.00","176.67","-33.9","94.99 ± 1.00","106.81 ± 1.00"
"2021-02-04 00:10:09","101.07 ± 1.00","179.67","-31.8","95.01 ± 1.00","106.79 ± 1.00"
"2021-02-03 12:10:10","102.03 ± 1.00","175.67","-36.8","94.91 ± 1.00","106.89 ± 1.00"
"2021-02-03 00:10:09","102.00 ± 1.00","175.33","-36.3","94.99 ± 1.00","106.81 ± 1.00"
"2021-02-02 12:10:09","100.97 ± 1.00","181.67","-32.3","94.81 ± 1.00","106.99 ± 1.00"
"2021-02-02 00:10:09","100.10 ± 1.00","191.33","-28.6","94.71 ± 1.00","107.09 ± 1.00"
"2021-02-01 12:10:10","101.83 ± 1.00","182.67","-35.7","94.94 ± 1.00","106.86 ± 1.00"
"2021-02-01 00:10:09","100.60 ± 1.00","188.67","-31.5","94.63 ± 1.00","107.17 ± 1.00"
"2021-01-31 12:10:07","100.53 ± 1.00","188.33","-29.9","94.87 ± 1.00","106.93 ± 1.00"
"2021-01-31 00:10:07","100.30 ± 1.00","186.67","-28.9","94.85 ± 1.00","106.95 ± 1.00"
"2021-01-30 12:10:07","100.20 ± 1.00","190.67","-28.2","94.88 ± 1.00","106.92 ± 1.00"
"2021-01-30 00:10:09","99.80 ± 1.00","191.00","-26.5","94.83 ± 1.00","106.97 ± 1.00"
"2021-01-29 12:10:09","99.27 ± 1.00","174.00","-25.0","94.61 ± 1.00","107.19 ± 1.00"
"2021-01-29 00:10:09","98.90 ± 1.00","190.00","-22.7","94.70 ± 1.00","107.10 ± 1.00"
"2021-01-28 12:10:08","100.20 ± 1.00","190.33","-28.8","94.76 ± 1.00","107.04 ± 1.00"
"2021-01-28 00:10:09","99.50 ± 1.00","190.67","-25.4","94.75 ± 1.00","107.05 ± 1.00"
"2021-01-27 12:10:07","100.00 ± 1.00","190.67","-27.9","94.75 ± 1.00","107.05 ± 1.00"
"2021-01-27 00:10:07","100.30 ± 1.00","192.00","-29.9","94.66 ± 1.00","107.14 ± 1.00"
"2021-01-26 12:10:07","100.30 ± 1.00","190.33","-28.8","94.87 ± 1.00","106.93 ± 1.00"
"2021-01-26 00:10:07","100.00 ± 1.00","190.33","-27.8","94.77 ± 1.00","107.03 ± 1.00"
"2021-01-25 12:10:10","99.60 ± 1.00","172.67","-26.9","94.56 ± 1.00","107.24 ± 1.00"
"2021-01-25 00:10:09","100.33 ± 1.00","190.00","-29.9","94.68 ± 1.00","107.12 ± 1.00"
"2021-01-24 12:10:08","100.90 ± 1.00","190.67","-32.8","94.65 ± 1.00","107.15 ± 1.00"
"2021-01-24 00:10:09","99.90 ± 1.00","190.67","-27.3","94.77 ± 1.00","107.03 ± 1.00"
"2021-01-23 12:10:10","100.00 ± 1.00","191.00","-28.0","94.74 ± 1.00","107.06 ± 1.00"
"2021-01-23 00:10:07","100.00 ± 1.00","191.00","-28.2","94.70 ± 1.00","107.10 ± 1.00"
"2021-01-22 12:10:07","100.20 ± 1.00","190.67","-28.8","94.76 ± 1.00","107.04 ± 1.00"
"2021-01-22 00:10:08","100.07 ± 1.00","183.67","-28.1","94.78 ± 1.00","107.02 ± 1.00"
"2021-01-21 12:10:07","100.27 ± 1.00","179.67","-28.7","94.85 ± 1.00","106.95 ± 1.00"
"2021-01-21 00:10:07","100.40 ± 1.00","196.00","-27.5","95.21 ± 1.00","106.59 ± 1.00"
"2021-01-20 12:10:10","99.03 ± 1.00","181.33","-26.3","94.15 ± 1.00","107.65 ± 1.00"
"2021-01-20 00:10:07","99.33 ± 1.00","235.67","-27.7","94.17 ± 1.00","107.63 ± 1.00"
"2021-01-19 12:10:07","99.50 ± 1.00","195.67","-27.5","94.36 ± 1.00","107.44 ± 1.00"
"2021-01-19 00:10:08","99.80 ± 1.00","173.33","-29.5","94.26 ± 1.00","107.54 ± 1.00"
"2021-01-18 12:10:10","99.03 ± 1.00","188.67","-27.0","94.00 ± 1.00","107.80 ± 1.00"
"2021-01-18 00:10:09","98.50 ± 1.00","192.67","-24.8","93.92 ± 1.00","107.88 ± 1.00"
"2021-01-17 12:10:10","99.00 ± 1.00","192.00","-27.3","93.92 ± 1.00","107.88 ± 1.00"
"2021-01-17 00:10:09","98.80 ± 1.00","189.67","-23.9","94.38 ± 1.00","107.42 ± 1.00"
"2021-01-16 12:10:10","99.47 ± 1.00","171.33","-27.6","94.31 ± 1.00","107.49 ± 1.00"
"2021-01-16 00:10:09","99.80 ± 1.00","195.67","-29.3","94.30 ± 1.00","107.50 ± 1.00"
"2021-01-15 12:10:07","100.27 ± 1.00","194.67","-31.7","94.28 ± 1.00","107.52 ± 1.00"
"2021-01-15 00:10:10","99.77 ± 1.00","195.00","-29.4","94.25 ± 1.00","107.55 ± 1.00"
"2021-01-14 12:10:09","99.70 ± 1.00","194.33","-28.9","94.28 ± 1.00","107.52 ± 1.00"
"2021-01-14 00:10:07","99.60 ± 1.00","195.00","-28.7","94.22 ± 1.00","107.58 ± 1.00"
"2021-01-13 12:10:09","99.63 ± 1.00","193.00","-28.4","94.31 ± 1.00","107.49 ± 1.00"
"2021-01-13 00:10:07","99.67 ± 1.00","188.67","-28.8","94.26 ± 1.00","107.54 ± 1.00"
"2021-01-12 12:10:10","99.87 ± 1.00","180.00","-29.1","94.40 ± 1.00","107.40 ± 1.00"
"2021-01-12 00:10:09","99.90 ± 1.00","177.00","-29.3","94.39 ± 1.00","107.41 ± 1.00"
"2021-01-11 12:10:09","69.93 ± 1.00","193.00","-29.4","66.07 ± 1.00","135.73 ± 1.00"
"2021-01-11 00:10:09","99.90 ± 1.00","195.00","-28.8","94.48 ± 1.00","107.32 ± 1.00"
"2021-01-10 12:10:09","99.90 ± 1.00","194.67","-28.4","94.56 ± 1.00","107.24 ± 1.00"
"2021-01-10 00:10:10","100.17 ± 1.00","185.33","-29.1","94.68 ± 1.00","107.12 ± 1.00"
"2021-01-09 12:10:10","100.30 ± 1.00","195.67","-29.6","94.72 ± 1.00","107.08 ± 1.00"
"2021-01-09 00:10:09","100.50 ± 1.00","197.00","-29.0","95.01 ± 1.00","106.79 ± 1.00"
"2021-01-08 12:10:09","100.50 ± 1.00","203.33","-28.9","95.03 ± 1.00","106.77 ± 1.00"
"2021-01-08 00:10:09","100.83 ± 1.00","218.67","-29.5","95.24 ± 1.00","106.56 ± 1.00"
"2021-01-07 12:10:10","101.17 ± 1.00","204.33","-29.0","95.65 ± 1.00","106.15 ± 1.00"
"2021-01-07 00:10:10","99.67 ± 1.00","218.67","-27.6","94.49 ± 1.00","107.31 ± 1.00"
"2021-01-06 12:10:09","99.50 ± 1.00","197.33","-27.8","94.30 ± 1.00","107.50 ± 1.00"
"2021-01-06 00:10:09","99.10 ± 1.00","196.00","-26.3","94.20 ± 1.00","107.60 ± 1.00"
"2021-01-05 12:10:09","99.10 ± 1.00","195.33","-25.7","94.33 ± 1.00","107.47 ± 1.00"
"2021-01-05 00:10:10","99.20 ± 1.00","194.00","-25.7","94.41 ± 1.00","107.39 ± 1.00"
"2021-01-04 12:10:10","100.10 ± 1.00","194.33","-29.5","94.53 ± 1.00","107.27 ± 1.00"
"2021-01-04 00:10:09","100.13 ± 1.00","189.00","-30.3","94.41 ± 1.00","107.39 ± 1.00"
"2021-01-03 12:10:09","100.30 ± 1.00","186.00","-30.9","94.46 ± 1.00","107.34 ± 1.00"
"2021-01-03 00:10:10","100.10 ± 1.00","187.67","-30.5","94.34 ± 1.00","107.46 ± 1.00"
"2021-01-02 12:10:08","99.93 ± 1.00","218.67","-30.2","94.25 ± 1.00","107.55 ± 1.00"
"2021-01-02 00:10:09","99.63 ± 1.00","219.67","-28.7","94.26 ± 1.00","107.54 ± 1.00"
"2021-01-01 12:10:07","100.20 ± 1.00","203.33","-30.5","94.44 ± 1.00","107.36 ± 1.00"
"2021-01-01 00:10:09","100.00 ± 1.00","221.33","-30.8","94.20 ± 1.00","107.60 ± 1.00"
"2020-12-31 12:10:09","100.20 ± 1.00","200.33","-30.4","94.47 ± 1.00","107.33 ± 1.00"
"2020-12-31 00:10:10","99.97 ± 1.00","183.33","-30.3","94.25 ± 1.00","107.55 ± 1.00"
"2020-12-30 12:10:09","100.00 ± 1.00","193.67","-31.0","94.16 ± 1.00","107.64 ± 1.00"
"2020-12-30 00:10:09","99.60 ± 1.00","193.33","-28.9","94.18 ± 1.00","107.62 ± 1.00"
"2020-12-29 12:10:09","99.30 ± 1.00","176.00","-27.7","94.12 ± 1.00","107.68 ± 1.00"
"2020-12-29 00:10:09","99.10 ± 1.00","171.00","-27.1","94.05 ± 1.00","107.75 ± 1.00"
"2020-12-28 12:10:10","99.37 ± 1.00","171.33","-28.1","94.12 ± 1.00","107.68 ± 1.00"
"2020-12-28 00:10:09","98.90 ± 1.00","170.67","-27.1","93.86 ± 1.00","107.94 ± 1.00"
"2020-12-27 12:10:09","98.90 ± 1.00","176.33","-25.8","94.11 ± 1.00","107.69 ± 1.00"
"2020-12-27 00:10:10","98.70 ± 1.00","171.33","-25.2","94.04 ± 1.00","107.76 ± 1.00"
"2020-12-26 12:10:10","98.70 ± 1.00","178.00","-25.2","94.04 ± 1.00","107.76 ± 1.00"
"2020-12-26 00:10:09","98.60 ± 1.00","172.33","-24.9","93.99 ± 1.00","107.81 ± 1.00"
"2020-12-25 12:10:09","98.80 ± 1.00","192.33","-25.5","94.07 ± 1.00","107.73 ± 1.00"
"2020-12-25 00:10:09","98.70 ± 1.00","192.67","-25.5","93.97 ± 1.00","107.83 ± 1.00"
"2020-12-24 12:10:10","98.70 ± 1.00","193.00","-24.9","94.10 ± 1.00","107.70 ± 1.00"
"2020-12-24 00:10:09","98.60 ± 1.00","193.00","-24.6","94.06 ± 1.00","107.74 ± 1.00"
"2020-12-23 12:10:09","98.70 ± 1.00","193.33","-24.9","94.09 ± 1.00","107.71 ± 1.00"
"2020-12-23 00:10:09","98.30 ± 1.00","192.67","-23.8","93.93 ± 1.00","107.87 ± 1.00"
"2020-12-22 12:10:10","98.47 ± 1.00","192.67","-23.6","94.11 ± 1.00","107.69 ± 1.00"
"2020-12-22 00:10:09","98.80 ± 1.00","193.33","-26.3","93.93 ± 1.00","107.87 ± 1.00"
"2020-12-21 12:10:09","98.70 ± 1.00","193.33","-25.8","93.93 ± 1.00","107.87 ± 1.00"
"2020-12-21 00:10:10","98.60 ± 1.00","193.33","-25.4","93.90 ± 1.00","107.90 ± 1.00"
"2020-12-20 12:10:10","98.60 ± 1.00","194.00","-24.8","94.02 ± 1.00","107.78 ± 1.00"
"2020-12-20 00:10:09","98.70 ± 1.00","193.00","-25.9","93.90 ± 1.00","107.90 ± 1.00"
"2020-12-19 12:10:09","98.90 ± 1.00","194.00","-26.9","93.91 ± 1.00","107.89 ± 1.00"
"2020-12-19 00:10:09","98.70 ± 1.00","193.00","-25.7","93.94 ± 1.00","107.86 ± 1.00"
"2020-12-18 12:10:10","98.33 ± 1.00","193.67","-23.7","93.96 ± 1.00","107.84 ± 1.00"
"2020-12-18 00:10:09","97.87 ± 1.00","193.67","-21.1","94.02 ± 1.00","107.78 ± 1.00"
"2020-12-17 12:10:09","97.53 ± 1.00","189.00","-20.3","93.84 ± 1.00","107.96 ± 1.00"
"2020-12-17 00:10:09","97.40 ± 1.00","195.67","-19.8","93.80 ± 1.00","108.00 ± 1.00"
"2020-12-16 12:10:10","105.23 ± 1.00","189.67","-18.8","101.55 ± 1.00","100.25 ± 1.00"
"2020-12-16 00:10:09","105.10 ± 1.00","191.00","-18.4","101.50 ± 1.00","100.30 ± 1.00"
"2020-12-15 12:10:09","104.20 ± 1.00","189.67","-18.9","100.53 ± 1.00","101.27 ± 1.00"
"2020-12-15 00:10:10","105.60 ± 1.00","191.00","-20.4","101.57 ± 1.00","100.23 ± 1.00"
"2020-12-14 12:10:10","106.10 ± 1.00","190.33","-23.5","101.43 ± 1.00","100.37 ± 1.00"
"2020-12-14 00:10:09","106.73 ± 1.00","174.00","-25.5","101.63 ± 1.00","100.17 ± 1.00"
"2020-12-13 12:10:09","106.77 ± 1.00","176.67","-26.3","101.49 ± 1.00","100.31 ± 1.00"
"2020-12-13 00:10:09","106.87 ± 1.00","192.00","-27.2","101.40 ± 1.00","100.40 ± 1.00"
"2020-12-12 12:10:10","106.60 ± 1.00","192.00","-26.5","101.30 ± 1.00","100.50 ± 1.00"
"2020-12-12 00:10:09","106.90 ± 1.00","191.67","-26.7","101.54 ± 1.00","100.26 ± 1.00"
