,,,,,,,,,,Snow Depth  Measurements,,,,,,,,,,,,,,,,,,,,,,,,,
station & tank,Station,Tank,DeployYear,Tank liner,DeployOrder,X,Y,Z,,01-Jan-08,01-Jan-09,01-Jan-10,01-Feb-10,01-Dec-10,01-Feb-11,16-Nov-11,19-Feb-12,21-Oct-12,9-Jan-13,21-Feb-13,25-Oct-13,11-Dec-13,8-Mar-14,3-Nov-14,27-Feb-15,28-Oct-15,28-Dec-15,1-Apr-16,10-Oct-16,22-Dec-16,8-Mar-17,13-Nov-17,9-Mar-18,4-Nov-18,6-Mar-19
12A,12,A,2009,Zirco,42,279.12,-300.17,1945.34,,-,-,0,-,0.044,0,0.085,0.095,0.095,0.075,0.095,0.255,0.255,0.255,0.275,0.273,0.275,0.365,0.355,0.495,0.525,0.555,0.715,0.704,0.755,0.807
12B,12,B,2009,Zirco,42,288.77,-301.22,1945.43,,-,-,0,-,0.024,0,0.063,0.073,0.073,0.073,0.073,0.103,0.153,0.193,0.273,0.379,0.383,0.413,0.413,0.503,0.503,0.643,0.703,0.735,0.786,0.938
13A,13,A,2009,Zirco,46,385.92,-290.1,1946.33,,-,-,0.221,-,0.326,0.301,0.51,0.57,0.71,0.71,0.7,0.93,0.98,1.01,1.23,1.196,1.26,1.32,1.34,1.6,1.57,1.59,1.87,1.895,1.996,2.301
13B,13,B,2009,Zirco,46,393.25,-283.56,1946.32,,-,-,0.21,-,0.46,0.418,0.617,0.847,0.907,0.867,0.847,1.167,1.137,1.137,1.267,1.267,1.457,1.477,1.457,1.707,1.747,1.747,2.057,2.054,2.130,2.410
14A,14,A,2011,Zirco,78,-389.8,-335.85,1944.91,,-,-,-,-,-,-,0.304,0.364,0.574,0.534,0.524,0.654,0.814,0.804,1.114,1.127,1.114,1.124,1.114,1.304,1.334,1.394,1.564,1.534,1.940,1.801
14B,14,B,2011,Zirco,78,-395.18,-344.06,1944.87,,-,-,-,-,-,-,0.446,0.456,0.546,0.596,0.586,0.726,0.806,0.786,1.126,1.084,1.266,1.236,1.206,1.446,1.536,1.566,1.806,1.783,2.024,2.062
15A,15,A,2010,Zirco,64,-265.41,-305.03,1945.25,,-,-,-,-,0.24,0.287,0.412,0.452,0.722,0.702,0.702,0.942,0.962,1.042,1.192,1.244,1.402,1.462,1.432,1.542,1.542,1.582,1.742,1.727,1.905,1.943
15B,15,B,2010,Zirco,64,-266.58,-314.82,1945.24,,-,-,-,-,0.363,0.318,0.518,0.568,0.718,0.778,0.768,1.078,1.098,1.108,1.228,1.266,1.398,1.488,1.538,1.558,1.578,1.588,1.988,1.939,1.990,2.117
16A,16,A,2010,Zirco,61,-182.38,-267.86,1945.18,,-,-,-,-,0.133,0.093,0.401,0.491,0.781,0.751,0.721,0.991,0.991,0.971,1.151,1.201,1.301,1.391,1.391,1.521,1.491,1.571,1.711,1.697,1.981,1.963
16B,16,B,2010,Zirco,61,-173.14,-263.58,1945.14,,-,-,-,-,0.035,0.087,0.3,0.43,0.8,0.73,0.71,0.97,0.98,0.99,1.25,1.301,1.35,1.37,1.4,1.54,1.61,1.63,1.76,1.746,1.987,1.936
17A,17,A,2009,Zirco,58,-40.27,-242.77,1944.57,,-,-,0.009,-,0.099,0.059,0.309,0.299,0.409,0.409,0.439,0.739,0.799,0.839,1.229,1.167,1.319,1.389,1.419,1.719,1.699,1.699,1.829,1.802,2.031,2.107
17B,17,B,2009,Zirco,58,-30.91,-245.79,1944.67,,-,-,0.001,-,0.046,0,0.177,0.197,0.357,0.387,0.407,0.607,0.667,0.697,1.027,1.084,1.197,1.237,1.227,1.377,1.357,1.377,1.597,1.567,1.872,1.897
18A,18,A,2009,Zirco,54,66.23,-226.92,1944.54,,-,-,0.068,-,0.161,0.1,0.17,0.22,0.37,0.36,0.36,0.41,0.45,0.46,0.66,0.716,0.81,0.83,0.87,0.96,1.09,1.08,1.18,1.25,1.402,1.402
18B,18,B,2009,Zirco,54,75.59,-223.46,1944.61,,-,-,0,-,0.049,0.014,0.179,0.169,0.219,0.209,0.289,0.419,0.409,0.389,0.649,0.691,0.829,0.899,0.889,0.909,0.909,0.919,1.089,1.148,1.173,1.224
19A,19,A,2009,Zirco,43,210.26,-184.81,1945.04,,-,-,0.001,-,0.197,0.131,0.171,0.201,0.441,0.441,0.411,0.571,0.561,0.561,0.781,0.763,1.051,1.141,1.121,1.171,1.171,1.191,1.261,1.334,1.499,1.525
19B,19,B,2009,Zirco,43,220.06,-185.96,1945.16,,-,-,0,-,0.065,0.021,0.161,0.161,0.281,0.321,0.311,0.481,0.381,0.361,0.571,0.552,0.821,0.831,0.851,0.891,0.921,0.961,1.091,1.124,1.225,1.251
20A,20,A,2009,Zirco,47,311.26,-228.66,1945.18,,-,-,0.039,-,0.067,0.031,0.128,0.158,0.098,0.228,0.238,0.418,0.448,0.468,0.778,0.785,0.788,0.798,0.798,1.088,1.128,1.188,1.638,1.572,1.649,1.649
20B,20,B,2009,Zirco,47,305.05,-221.04,1945.02,,-,-,0.01,-,0.05,0.011,0.081,0.091,0.211,0.131,0.171,0.331,0.411,0.441,0.681,0.666,0.721,0.721,0.731,1.081,1.061,1.081,1.711,1.657,1.657,1.632
21A,21,A,2005,Tyvek,1,441.54,-212.91,1947.27,,0.9,0.81,1.219,-,1.52,1.461,1.695,1.725,1.935,1.925,1.895,2.095,2.135,2.125,2.465,2.477,2.575,2.545,2.595,2.815,2.815,2.785,3.105,3.074,3.277,3.290
21B,21,B,2005,Tyvek,1,432.8,-207.26,1947.21,,0.9,0.79,1.301,-,1.443,1.386,1.674,1.694,2.024,1.994,1.974,2.204,2.204,2.204,2.434,2.448,2.524,2.534,2.514,2.714,2.714,2.734,2.974,3.007,3.324,3.273
22A,22,A,2011,Zirco,75,-468.7,-238.58,1944.84,,-,-,-,-,-,0.167,0.337,0.327,0.537,0.517,0.537,0.717,0.787,0.847,1.007,1.004,1.347,1.347,1.347,1.477,1.467,1.517,1.707,1.766,1.766,1.817
22B,22,B,2011,Zirco,75,-473.96,-246.92,1944.76,,-,-,-,-,-,0.001,0.396,0.371,0.601,0.541,0.591,1.021,1.061,1.081,1.251,1.348,1.341,1.381,1.481,1.641,1.631,1.621,1.711,1.755,2.009,2.047
23A,23,A,2010,Zirco,68,-389.16,-194.61,1945.21,,-,-,-,-,0.09,0.05,0.265,0.265,0.565,0.525,0.555,0.785,0.835,0.875,1.035,1.097,1.265,1.275,1.275,1.525,1.505,1.545,1.615,1.668,1.922,1.960
23B,23,B,2010,Zirco,68,-381.51,-188.44,1945.21,,-,-,-,-,0.066,0.102,0.232,0.252,0.472,0.442,0.442,0.662,0.742,0.762,0.932,0.964,1.182,1.292,1.372,1.512,1.542,1.572,1.632,1.637,1.879,1.917
24A,24,A,2010,Zirco,65,-225.21,-175.63,1945.15,,-,-,-,-,0.325,0.282,0.557,0.577,0.697,0.717,0.727,0.967,0.947,0.977,1.137,1.304,1.427,1.397,1.417,1.527,1.577,1.597,1.917,1.876,2.028,2.041
24B,24,B,2010,Zirco,65,-221.11,-184.35,1945.21,,-,-,-,-,0.416,0.361,0.568,0.578,0.758,0.798,0.788,0.998,0.988,0.838,1.188,1.194,1.368,1.368,1.568,1.568,1.558,1.568,1.808,1.829,2.057,2.057
25A,25,A,2010,Zirco,62,-102.28,-155.67,1945.22,,-,-,-,-,0.449,0.347,0.877,0.857,1.077,1.087,1.077,1.597,1.577,1.547,1.947,1.919,1.997,2.017,2.067,2.247,2.277,2.317,2.717,2.718,3.048,3.023
25B,25,B,2010,Zirco,62,-98.05,-164.55,1945.18,,-,-,-,-,0.375,0.305,0.695,0.665,0.985,0.915,0.905,1.325,1.315,1.305,1.675,1.765,1.965,1.965,1.925,2.255,2.235,2.215,2.705,2.645,2.861,2.949
26A,26,A,2009,Zirco,59,13.29,-129.59,1944.78,,-,-,0.246,-,1.032,0.872,1.522,1.462,1.532,1.562,1.532,1.952,1.952,1.902,2.252,2.19,2.612,2.592,2.582,2.662,2.792,2.782,2.752,2.762,3.168,3.143
26B,26,B,2009,Zirco,59,21.12,-135.68,1944.65,,-,-,0.063,-,0.723,0.613,1.053,1.073,1.293,1.293,1.293,1.633,1.653,1.593,2.043,2.023,2.293,2.343,2.303,2.663,2.363,2.373,2.503,2.481,2.620,2.620
27A,27,A,2009,Zirco,44,125.65,-105.91,1944.59,,-,-,0.061,-,0.334,0.286,0.386,0.396,0.406,0.426,0.426,0.686,0.736,0.786,0.836,0.996,1.056,1.106,1.106,1.406,1.376,1.416,1.626,1.657,2.012,1.987
27B,27,B,2009,Zirco,44,135.02,-108.43,1944.73,,-,-,0.083,-,0.289,0.216,0.316,0.326,0.406,0.396,0.416,0.846,0.816,0.826,1.116,1.144,1.146,1.186,1.156,1.366,1.466,1.446,1.686,1.741,1.804,1.855
28A,28,A,2009,Zirco,48,228.56,-95.62,1946.2,,-,-,0.026,-,0.201,0.15,0.42,0.47,0.68,0.66,0.68,1,0.99,0.99,1.16,1.165,1.37,1.49,1.46,1.56,1.58,1.59,1.84,1.8,1.940,1.991
28B,28,B,2009,Zirco,48,235.93,-89.63,1946.2,,-,-,0,-,0.416,0.356,0.671,0.671,0.921,0.911,0.941,1.401,1.391,1.361,1.421,1.501,1.651,1.681,1.641,1.701,1.711,1.771,2.031,1.996,2.225,2.174
29A,29,A,2005,Tyvek,2,363.26,-115.94,1946.59,,1.2,1.16,1.798,-,1.802,1.85425,2.359,2.339,2.469,2.529,2.519,2.809,2.809,2.839,2.939,3.023,3.079,3.139,3.109,3.369,3.369,3.369,3.6093,3.63,3.884,3.884
29B,29,B,2005,Tyvek,2,354.62,-110.32,1946.64,,0.94,1.1,1.401,-,1.63,1.5636,1.924,1.894,2.054,2.094,2.104,2.634,2.664,2.644,2.924,2.893,2.894,2.874,2.854,3.244,3.204,3.224,3.3636,3.363,3.754,3.702
30A,30,A,2005,Tyvek,3,523.94,-67.48,1949.51,,0.45,0.69,0.795,0.809,0.884,0.86,1.14,1.18,1.43,1.42,1.42,1.67,1.64,1.65,1.84,1.863,2.01,2.03,2.02,2.16,2.15,2.19,2.28,2.43,2.532,2.608
30B,30,B,2005,Tyvek,3,518.38,-76.23,1949.35,,0.45,0.81,0.925,0.924,1.143,1.094,1.314,1.374,1.624,1.584,1.594,1.734,1.734,1.794,1.914,1.956,2.064,2.034,2.074,2.294,2.334,2.344,2.354,2.394,2.509,2.750
31A,31,A,2011,Zirco,74,-547.68,-141.59,1944.68,,-,-,-,-,-,0.15,0.392,0.362,0.612,0.582,0.602,0.862,0.872,0.892,1.072,1.106,1.292,1.372,1.362,1.502,1.562,1.572,1.742,1.732,1.792,1.970
31B,31,B,2011,Zirco,74,-553.27,-149.66,1944.67,,-,-,-,-,-,0.203,0.333,0.373,0.593,0.593,0.603,0.863,0.863,0.873,1.233,1.156,1.403,1.413,1.393,1.663,1.643,1.643,1.643,1.753,1.842,1.868
32A,32,A,2010,Zirco,67,-452.62,-88.09,1945.17,,-,-,-,-,0.328,0.278,0.386,0.451,0.601,0.601,0.641,0.881,0.901,0.931,1.001,1.022,1.271,1.291,1.301,1.501,1.491,1.481,1.641,1.682,1.835,1.860
32B,32,B,2010,Zirco,67,-442.76,-88.33,1945.13,,-,-,-,-,0.202,0.166,0.409,0.354,0.684,0.634,0.634,0.834,0.894,0.954,1.024,1.073,1.344,1.374,1.344,1.554,1.574,1.584,1.834,1.797,1.962,1.949
33A,33,A,2010,Zirco,69,-304.3,-78.36,1945.16,,-,-,-,-,0.282,0.252,0.436,0.456,0.656,0.666,0.666,0.926,0.896,0.916,1.066,1.159,1.306,1.306,1.326,1.596,1.566,1.566,1.856,1.819,1.921,2.022
33B,33,B,2010,Zirco,69,-300.29,-87.26,1945.09,,-,-,-,-,0.362,0.354,0.619,0.619,0.699,0.679,0.679,1.069,1.069,1.069,1.419,1.368,1.379,1.459,1.439,1.569,1.599,1.649,1.799,1.761,1.964,2.168
34A,34,A,2010,Zirco,66,-180.8,-58.61,1945.37,,-,-,-,-,0.209,0.237,0.343,0.353,0.713,0.663,0.633,0.893,0.863,0.883,1.083,1.143,1.273,1.263,1.273,1.403,1.533,1.583,1.583,1.74,1.982,1.944
34B,34,B,2010,Zirco,66,-176.12,-68.07,1945.5,,-,-,-,-,0.277,0.203,0.318,0.368,0.628,0.598,0.628,0.688,0.788,0.828,0.958,1.072,1.108,1.138,1.138,1.288,1.168,1.358,1.458,1.568,1.885,1.847
35A,35,A,2010,Zirco,63,-86.44,-30.7,1945.96,,-,-,-,-,0.264,0.244,0.59,0.76,0.87,0.86,0.89,1.33,1.31,1.28,1.28,1.322,1.32,1.38,1.4,1.68,1.67,1.75,1.93,1.932,2.230,2.233
35B,35,B,2010,Zirco,63,-76.54,-29.19,1946.21,,-,-,-,-,0.421,0.416,0.638,0.698,0.938,1.008,0.998,1.018,1.058,1.118,1.218,1.303,1.338,1.338,1.338,1.548,1.548,1.568,1.828,1.798,2.198,2.221
36A,36,A,2009,Zirco,45,37.29,-57.61,1946.64,,-,-,0.002,-,0.086,0.201,0.332,0.332,0.372,0.412,0.372,0.612,0.592,0.592,1.142,1.101,1.222,1.242,-,1.432,1.422,1.392,1.572,1.571,1.736,1.762
36B,36,B,2009,Zirco,45,29.03,-53.05,1946.74,,-,-,0.001,-,0.238,0.304,0.349,0.379,0.589,0.589,0.559,0.709,0.739,0.759,1.289,1.311,1.429,1.489,-,1.549,1.539,1.539,1.899,1.87,1.997,2.098
37A,37,A,2009,Zirco,49,150.52,-31.21,1946.59,,-,-,0,-,0.003,0.005,-0.012,0.008,0.008,0.008,-0.002,0.028,0.088,0.088,0.238,0.232,0.238,0.228,0.238,0.468,0.458,0.458,0.668,0.65,0.827,0.878
37B,37,B,2009,Zirco,49,145.09,-22.79,1946.3,,-,-,0.034,-,0.057,0,0.066,0.096,0.116,0.126,0.126,0.306,0.236,0.306,0.316,0.501,0.486,0.496,0.486,0.496,0.526,0.606,0.796,0.805,0.932,1.008
