,,,,,,,,,,Snow Depth  Measurements,,,,,,,,,,,,,,,,,,,,,,,,,
station & tank,Station,Tank,DeployYear,Tank liner,DeployOrder,X,Y,Z,,01-Jan-08,01-Jan-09,01-Jan-10,01-Feb-10,01-Dec-10,01-Feb-11,16-Nov-11,19-Feb-12,21-Oct-12,9-Jan-13,21-Feb-13,25-Oct-13,11-Dec-13,8-Mar-14,3-Nov-14,27-Feb-15,28-Oct-15,28-Dec-15,1-Apr-16,10-Oct-16,22-Dec-16,8-Mar-17,13-Nov-17,9-Mar-18,4-Nov-18,6-Mar-19
51A,51,A,2010,Zirco,71,-456.56,101.51,1945.18,,-,-,-,-,0.352,0.3,0.428,0.498,0.648,0.678,0.698,1.088,1.068,1.058,1.308,1.288,1.338,1.448,1.438,1.618,1.618,1.618,1.748,1.77,1.796,1.834
51B,51,B,2010,Zirco,71,-457.98,91.18,1945.12,,-,-,-,-,0.463,0.372,0.558,0.648,0.788,0.758,0.818,1.078,1.088,1.088,1.278,1.31,1.408,1.468,1.448,1.608,1.698,1.688,1.718,1.768,1.818,1.882
52A,52,A,2008,Zirco,39,-332.96,120.58,1945.59,,-,0.13,0.349,-,0.695,0.595,0.64,0.695,0.875,0.885,0.985,1.155,1.145,1.175,1.405,1.438,1.525,1.675,1.635,1.735,1.715,1.715,1.915,2.009,2.047,2.111
52B,52,B,2008,Zirco,39,-334.23,111.39,1945.63,,-,0.13,0.308,-,0.522,0.497,0.76,0.72,0.92,0.95,0.95,1.04,1.14,1.14,1.39,1.375,1.46,1.55,1.54,1.73,1.8,1.79,1.94,1.921,1.985,2.086
53A,53,A,2008,Zirco,40,-209.81,138.89,1945.56,,-,0.2,0.633,-,0.747,0.72,0.97,0.98,1.14,1.12,1.19,1.33,1.31,1.36,1.53,1.57,1.68,1.66,1.68,1.88,1.87,1.9,2.05,2.077,2.270,2.335
53B,53,B,2008,Zirco,40,-211.83,129.76,1945.63,,-,0.1,0.509,-,0.67,0.669,0.934,0.954,1.084,1.074,1.074,1.284,1.294,1.294,1.484,1.487,1.744,1.714,1.694,1.774,1.784,1.794,1.944,1.957,2.360,2.361
54A,54,A,2008,Zirco,28,-121.93,136.3,1945.45,,-,0.33,0.659,0.703,1.156,1.256,1.286,1.296,1.376,1.456,1.466,1.676,1.656,1.656,1.856,1.918,2.156,2.126,2.216,2.236,2.276,2.326,2.366,2.442,2.696,2.722
54B,54,B,2008,Zirco,28,-129.58,142.24,1945.43,,-,0.43,0.749,0.783,1.143,1.098,1.248,1.298,1.488,1.538,1.528,1.668,1.658,1.648,1.838,1.905,2.078,2.118,2.118,2.328,2.328,2.308,2.518,2.516,2.592,2.745
55A,55,A,2007,Zirco,26,21.28,155.38,1946.32,,0.38,0.58,0.773,0.831,0.968,0.951,1.246,1.226,1.606,1.536,1.546,1.636,1.656,1.666,1.886,1.908,2.186,2.266,2.226,2.346,2.256,2.336,2.426,2.501,2.767,2.742
55B,55,B,2007,Zirco,26,11.35,153.44,1946.36,,0.28,0.48,0.707,0.749,0.922,0.902,1.072,1.082,1.322,1.362,1.372,1.592,1.592,1.622,1.752,1.743,2.062,2.032,2.012,2.292,2.332,2.282,2.312,2.336,2.539,2.615
56A,56,A,2007,Zirco,18,132.99,174.43,1947.36,,0.79,0.71,1.011,-,1.599,1.516,1.705,1.675,1.945,1.935,1.945,2.465,2.445,2.395,2.395,2.374,2.545,2.645,2.625,2.775,2.785,2.865,2.845,2.832,2.908,2.933
56B,56,B,2007,Zirco,18,123.91,176.94,1947.31,,0.79,0.56,0.826,-,1.455,1.361,1.593,1.643,1.863,1.813,1.813,2.043,2.163,2.143,2.353,2.358,2.523,2.503,2.483,2.673,2.643,2.643,2.683,2.7,2.992,2.941
57A,57,A,2006,Zirco,14,248.56,194.34,1949.66,,1.7,1.7,0.362,-,1.496,0.233,1.363,0.613,1.303,1.053,1.063,2.363,2.393,1.303,2.643,1.869,3.153,1.953,2.323,3.55,3.47,3.47,4.15,3.36,4.140,3.640
57B,57,B,2006,Zirco,14,241,200.45,1949.57,,1.25,1.25,0.257,-,1.151,0,0.67,0.41,0.79,0.76,0.88,2.3,2.3,1.28,2.62,1.606,2.61,2.15,2.56,3.75,3.67,3.62,4.45,3.656,4.444,3.936
58A,58,A,2006,Zirco,12,400.64,220.29,1949.76,,0.4,0.56,0.758,0.782,1.063,1.065,1.3,1.32,1.52,1.57,1.55,1.76,1.76,1.75,2.06,2.053,2.11,2.11,2.13,2.3,2.31,2.33,2.43,2.553,2.794,2.908
58B,58,B,2006,Zirco,12,393.09,215.05,1949.75,,0.4,0.64,0.862,0.887,1.095,1.098,1.328,1.358,1.498,1.508,1.578,1.718,1.728,1.738,2.038,2.036,2.158,2.278,2.348,2.338,2.328,2.378,2.568,2.527,2.794,2.972
59A,59,A,2006,Zirco,10,525.42,241.34,1949.77,,0.6,0.75,0.934,-,1.173,1.152,1.322,1.372,1.532,1.562,1.562,1.772,1.762,1.732,1.902,1.961,2.042,2.072,2.112,2.322,2.402,2.402,2.612,2.6,2.727,2.790
59B,59,B,2006,Zirco,10,517.81,235.2,1949.56,,0.6,0.89,1.108,-,1.295,1.254,1.547,1.577,1.857,1.867,1.847,1.847,1.837,1.897,2.147,2.187,2.377,2.367,2.367,2.397,2.547,2.587,2.657,2.676,2.904,3.006
60A,60,A,2008,Zirco,35,-415.88,231.54,1945.58,,-,0.14,0.279,-,0.555,0.536,0.786,0.911,1.101,0.981,1.071,1.181,1.241,1.231,1.421,1.462,1.611,1.601,1.591,1.661,1.691,1.711,1.871,1.932,1.982,2.046
60B,60,B,2008,Zirco,35,-412.24,222.4,1945.59,,-,0.14,0.262,-,0.693,0.619,0.809,0.919,1.009,1.159,1.029,1.269,1.359,1.339,1.369,1.421,1.629,1.639,1.689,1.819,1.809,1.819,1.859,2.03,1.954,2.018
61A,61,A,2008,Zirco,37,-288.46,232.63,1945.89,,-,0.1,0.193,-,0.534,0.481,0.615,0.675,0.865,0.865,0.845,1.035,1.075,1.105,1.305,1.368,1.525,1.515,1.495,1.655,1.645,1.625,1.755,1.774,2.028,2.104
61B,61,B,2008,Zirco,37,-292.15,223.9,1945.87,,-,0.15,0.232,-,0.532,0.482,0.648,0.658,0.978,0.948,0.928,1.188,1.188,1.168,1.408,1.386,1.498,1.508,1.498,1.638,1.638,1.688,1.748,1.78,2.021,2.072
62A,62,A,2008,Zirco,27,-201.87,234.75,1945.96,,-,0.08,0.289,-,0.545,0.504,0.749,0.789,0.899,0.929,0.919,1.229,1.199,1.189,1.429,1.499,1.549,1.679,1.689,1.839,1.819,1.839,1.889,1.931,2.185,2.210
62B,62,B,2008,Zirco,27,-209.38,240.98,1945.99,,-,0.05,0.221,-,0.517,0.481,0.661,0.761,0.861,0.891,0.911,1.191,1.181,1.171,1.311,1.409,1.641,1.691,1.681,1.741,1.731,1.761,1.991,1.993,2.235,2.247
63A,63,A,2008,Zirco,29,-53.24,255.47,1946.52,,-,0.24,0.293,-,0.674,0.609,0.814,0.944,1.054,1.024,1.014,1.284,1.264,1.294,1.614,1.632,1.774,1.734,1.704,1.824,1.874,1.884,2.124,2.098,2.275,2.288
63B,63,B,2008,Zirco,29,-61.43,252.28,1946.45,,-,0.42,0.361,-,0.611,0.528,0.728,0.828,0.958,0.968,0.978,1.198,1.168,1.218,1.588,1.558,1.678,1.818,1.768,1.998,1.978,1.968,2.018,2.015,1.989,2.281
64A,64,A,2007,Zirco,25,64.81,272.17,1947.18,,0.48,0.74,0.963,-,1.255,1.348,1.481,1.521,1.691,1.681,1.661,1.961,1.951,1.981,2.171,2.173,2.251,2.281,2.451,2.421,2.441,2.531,2.641,2.492,2.885,2.885
64B,64,B,2007,Zirco,25,55.34,270.76,1947.32,,0.38,0.46,0.616,-,1.208,1.133,1.266,1.316,1.546,1.546,1.526,1.726,1.726,1.776,2.026,2.148,2.166,2.166,2.136,2.306,2.306,2.296,2.466,2.606,2.631,2.656
65A,65,A,2007,Zirco,19,153.32,302.92,1948.6,,1.04,0.74,0.876,-,1.099,1.051,1.269,1.269,1.549,1.559,1.579,1.609,1.629,1.679,1.919,1.938,2.039,2.109,2.089,2.269,2.259,2.309,2.419,2.518,2.632,2.746
65B,65,B,2007,Zirco,19,152.06,312.22,1948.48,,1.04,0.77,0.868,-,1.066,1.05,1.3,1.3,1.58,1.55,1.54,1.81,1.81,1.8,1.95,2.002,2.08,2.1,2.08,2.23,2.22,2.28,2.68,2.633,2.684,2.811
66A,66,A,2006,Zirco,15,320.09,316.7,1949.81,,0.45,0.76,0.729,0.744,1.147,1.109,1.229,1.229,1.429,1.409,1.349,1.679,1.639,1.669,2.159,2.115,2.139,2.159,2.139,2.239,2.299,2.309,2.479,2.569,2.746,2.721
66B,66,B,2006,Zirco,15,312.73,312.29,1949.71,,0.45,0.84,0.849,0.871,1.336,1.248,1.435,1.425,1.605,1.605,1.485,1.875,1.875,1.855,2.075,2.15,2.275,2.275,2.295,2.565,2.545,2.565,2.775,2.771,2.949,2.898
67A,67,A,2006,Zirco,11,440.38,333.14,1949.9,,0.2,0.58,0.693,0.733,1.066,1.063,1.203,1.213,1.343,1.383,1.473,1.563,1.603,1.723,1.823,1.828,1.973,1.973,1.983,2.143,2.163,2.163,2.323,2.372,2.550,2.652
67B,67,B,2006,Zirco,11,430.96,330.85,1949.86,,0.45,0.62,1.027,1.042,1.166,1.113,1.193,1.223,1.503,1.473,1.483,1.573,1.663,1.693,1.863,1.878,1.933,1.973,1.953,2.163,2.163,2.273,2.383,2.388,2.783,2.743
68A,68,A,2008,Zirco,36,-403.66,311.97,1945.64,,-,0.2,0.34,-,0.843,0.76,0.89,0.96,1.16,1.15,1.13,1.24,1.22,1.27,1.38,1.538,1.71,1.71,1.66,1.88,1.86,1.86,1.93,1.976,1.982,2.046
68B,68,B,2008,Zirco,36,-411.03,317.17,1945.57,,-,0.2,0.367,-,0.716,0.691,0.841,0.941,1.021,1.041,1.071,1.391,1.371,1.371,1.531,1.75,1.731,1.771,1.751,1.791,1.891,1.921,1.941,2.03,2.030,2.157
69A,69,A,2008,Zirco,33,-279.81,330.92,1946.09,,-,0.06,0.189,-,0.49,0.451,0.591,0.631,0.771,0.731,0.751,1.121,1.111,1.091,1.161,1.237,1.311,1.341,1.431,1.551,1.581,1.601,1.691,1.681,1.707,1.745
69B,69,B,2008,Zirco,33,-287.45,336.22,1946,,-,0.15,0.248,-,0.589,0.528,0.643,0.713,1.033,1.033,1.033,1.163,1.133,1.173,1.223,1.361,1.383,1.493,1.473,1.563,1.613,1.643,1.823,1.78,1.844,1.869
70A,70,A,2008,Zirco,34,-161.68,354.23,1946.18,,-,0.18,0.444,-,0.728,0.679,0.794,0.844,1.054,1.034,1.214,1.224,1.214,1.214,1.544,1.471,1.634,1.724,-,1.924,1.904,1.894,2.104,2.106,2.414,2.537
70B,70,B,2008,Zirco,34,-167.91,361.4,1946.22,,-,0.18,0.511,-,0.702,0.659,0.869,0.859,1.019,1.009,1.009,1.129,1.139,1.169,1.359,1.375,1.599,1.589,-,1.739,1.759,1.769,1.999,2.022,2.399,2.400
71A,71,A,2007,Zirco,24,-12.5,369.96,1946.98,,0.76,0.67,0.784,0.828,1.004,0.979,1.124,1.184,1.494,1.474,1.454,1.624,1.634,1.684,1.864,1.876,2.044,2.084,2.114,2.274,2.294,2.304,2.614,2.567,2.809,2.771
71B,71,B,2007,Zirco,24,-21.82,367.29,1947.06,,0.76,0.67,0.857,0.922,1.013,0.991,1.106,1.106,1.446,1.326,1.326,1.646,1.656,1.656,1.766,1.839,1.966,1.996,2.136,2.186,2.166,2.196,2.366,2.486,2.613,2.664
72A,72,A,2007,Zirco,21,123.73,400.72,1948.63,,0.3,0.43,0.595,0.633,0.92,0.884,0.904,0.934,1.184,1.164,1.164,1.304,1.294,1.284,1.494,1.605,1.654,1.764,1.774,1.804,1.824,1.874,2.034,2.05,2.380,2.409
72B,72,B,2007,Zirco,21,116.86,393.31,1948.63,,0.33,0.38,0.637,0.653,0.906,0.818,0.928,0.968,1.148,1.128,1.138,1.308,1.308,1.328,1.418,1.489,1.608,1.628,1.648,1.778,1.918,1.808,2.048,2.028,2.396,2.485
73A,73,A,2007,Zirco,20,207.71,412.85,1949.25,,0.46,0.58,0.739,0.766,1.156,1.086,1.231,1.291,1.331,1.371,1.361,1.471,1.501,1.531,1.681,1.791,1.921,1.941,1.921,2.051,2.071,2.171,2.281,2.292,2.508,2.534
73B,73,B,2007,Zirco,20,201.79,421.13,1949.24,,0.38,0.56,0.703,0.719,1.044,0.969,1.069,1.079,1.269,1.269,1.259,1.439,1.459,1.659,1.649,1.754,1.739,1.889,1.869,1.899,1.929,2.059,2.159,2.159,2.298,2.375
74A,74,A,2006,Zirco,16,369.49,430.77,1950.08,,0.45,0.57,0.66,0.719,0.977,0.939,1.182,1.152,1.252,1.282,1.292,1.412,1.432,1.442,1.632,1.696,1.832,1.832,1.862,1.972,2.002,2.002,2.052,2.154,2.243,2.332
74B,74,B,2006,Zirco,16,362.26,425.18,1949.98,,0.7,0.62,0.758,0.777,0.975,0.95,1.17,1.24,1.36,1.37,1.36,1.52,1.57,1.7,1.62,1.709,1.92,1.91,1.89,2.01,2,2.05,2.24,2.236,2.477,2.477
75A,75,A,2008,Zirco,31,-352.69,421.15,1946.01,,-,0.08,0.215,-,0.542,0.492,0.777,0.832,0.852,0.872,0.892,1.202,1.182,1.182,1.282,1.355,1.432,1.522,1.492,1.652,1.682,1.682,1.992,1.99,1.982,2.003
75B,75,B,2008,Zirco,31,-361.33,423.89,1946.03,,-,0.2,0.302,-,0.576,0.52,0.805,0.885,0.965,1.115,1.095,1.165,1.215,1.205,1.275,1.358,1.425,1.475,1.555,1.595,1.635,1.665,1.975,1.929,1.925,1.967
76A,76,A,2008,Zirco,32,-242.1,453.16,1946.28,,-,0.15,0.228,-,0.626,0.567,0.737,0.817,0.967,1.047,1.007,1.187,1.177,1.187,1.577,1.487,1.497,1.537,1.507,1.617,1.597,1.647,1.967,1.931,2.130,2.191
76B,76,B,2008,Zirco,32,-247.85,461.27,1946.19,,-,0.2,0.363,-,0.72,0.71,0.85,0.92,1.12,1.12,1.11,1.27,1.26,1.26,1.48,1.506,1.62,1.62,1.6,1.72,1.75,1.86,1.96,1.989,2.540,2.620
77A,77,A,2007,Zirco,23,-87.59,468.46,1946.85,,0.46,0.51,0.695,-,1.115,1.078,1.198,1.208,1.448,1.418,1.458,1.548,1.558,1.578,1.708,1.777,2.108,2.118,-,2.098,2.118,2.238,2.228,2.336,2.488,2.539
77B,77,B,2007,Zirco,23,-96.98,464.93,1946.98,,0.46,0.3,0.484,-,0.88,0.852,1.012,0.992,1.022,1.102,1.172,1.372,1.352,1.412,1.472,1.563,1.762,1.772,-,1.982,1.962,1.962,2.032,2.071,2.478,2.402
78A,78,A,2007,Zirco,22,1.85,494.5,1947.67,,0.15,0.41,0.553,-,0.657,0.658,0.791,0.961,1.151,1.181,1.211,1.311,1.341,1.361,1.701,1.618,1.821,1.801,1.781,1.831,1.861,1.901,2.131,2.139,2.316,2.329
78B,78,B,2007,Zirco,22,-2.28,503.47,1947.78,,0.15,0.36,0.459,-,0.584,0.531,0.871,0.841,1.031,1.121,1.091,1.221,1.251,1.271,1.341,1.458,1.491,1.551,1.541,1.671,1.751,1.861,1.851,1.953,2.030,2.233
79A,79,A,2011,Tyvek,79,17.89,-94.83,1945.93,,-,-,-,-,-,-,0.171,0.281,0.391,0.411,0.411,0.771,0.801,0.761,1.161,1.211,1.421,1.371,1.381,1.471,1.471,1.471,1.841,1.821,1.948,1.948
79B,79,B,2011,Zirco,79,10.68,-87.9,1946.12,,-,-,-,-,-,-,0.414,0.374,0.634,0.594,0.594,0.934,0.934,0.924,1.204,1.175,1.614,1.574,1.544,1.634,1.624,1.614,2.064,2.013,2.217,2.219
80A,80,A,2011,Tyvek,80,76.53,-42.21,1946.05,,-,-,-,-,-,-,0.158,0.158,0.218,0.288,0.328,0.398,0.448,0.458,0.768,0.81,0.968,1.038,1.078,1.088,1.098,1.198,1.458,1.407,1.546,1.902
80B,80,B,2011,Zirco,80,85.74,-45.73,1946.04,,-,-,-,-,-,-,0.05,0.04,0.09,0.15,0.14,0.16,0.19,0.26,0.39,0.499,0.71,0.69,0.67,0.69,0.77,0.82,0.89,1.028,1.422,1.358
81A,81,A,2011,Tyvek,81,77.36,37.9,1946.18,,-,-,-,-,-,-,-,0.32,0.45,0.45,0.45,0.74,0.75,0.72,1.18,1.1,1.3,1.33,1.32,1.44,1.46,1.44,1.68,1.647,1.939,1.913
81B,81,B,2011,Tyvek,81,87.12,40.12,1946.22,,-,-,-,-,-,-,-,0.33,0.35,0.38,0.37,0.65,0.64,0.61,0.89,0.958,1.12,1.12,1.13,1.32,1.35,1.34,1.53,1.504,1.644,1.720
