2009-10-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.000
03A   0.000
03B   0.000
04A   0.000
04B   0.000
05A   0.021
05B   0.000
06A   0.000
06B   0.000
07A -99.999
07B -99.999
08A -99.999
08B -99.999
09A   0.017
09B   0.000
10A   0.000
10B   0.000
11A   0.000
11B   0.000
12A   0.000
12B   0.000
13A   0.112
13B   0.149
14A -99.999
14B -99.999
15A -99.999
15B -99.999
16A -99.999
16B -99.999
17A   0.000
17B   0.000
18A   0.000
18B   0.000
19A   0.000
19B   0.000
20A   0.002
20B   0.015
21A   1.091
21B   1.086
22A -99.999
22B -99.999
23A -99.999
23B -99.999
24A -99.999
24B -99.999
25A -99.999
25B -99.999
26A   0.182
26B   0.000
27A   0.019
27B   0.074
28A   0.000
28B   0.001
29A   1.472
29B   1.211
30A   0.825
30B   0.889
31A -99.999
31B -99.999
32A -99.999
32B -99.999
33A -99.999
33B -99.999
34A -99.999
34B -99.999
35A -99.999
35B -99.999
36A   0.017
36B   0.000
37A   0.000
37B   0.000
38A   0.883
38B   0.538
39A   1.566
39B   1.536
40A   0.865
40B   0.752
41A -99.999
41B -99.999
42A -99.999
42B -99.999
43A -99.999
43B -99.999
44A   0.250
44B   0.051
45A   0.811
45B   0.407
46A   0.819
46B   0.735
47A   0.683
47B   0.713
48A   1.114
48B   0.828
49A   0.758
49B   0.804
50A   0.772
50B   0.706
51A -99.999
51B -99.999
52A   0.211
52B   0.210
53A   0.566
53B   0.305
54A   0.547
54B   0.547
55A   0.650
55B   0.656
56A   0.752
56B   0.806
57A   1.719
57B   1.677
58A   0.668
58B   0.802
59A   0.878
59B   1.081
60A   0.116
60B   0.040
61A   0.087
61B   0.123
62A   0.198
62B   0.150
63A   0.143
63B   0.266
64A   0.976
64B   0.680
65A   0.669
65B   0.808
66A   0.798
66B   0.851
67A   0.585
67B   0.847
68A   0.254
68B   0.120
69A   0.157
69B   0.082
70A   0.254
70B   0.331
71A   0.822
71B   0.796
72A   0.503
72B   0.279
73A   0.562
73B   0.776
74A   0.686
74B   0.674
75A   0.157
75B   0.204
76A   0.097
76B   0.098
77A   0.634
77B   0.364
78A   0.464
78B   0.308
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
