2009-08-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.043
03A   0.017
03B   0.000
04A   0.000
04B   0.000
05A   0.058
05B   0.000
06A   0.010
06B   0.000
07A -99.999
07B -99.999
08A -99.999
08B -99.999
09A   0.033
09B   0.000
10A   0.000
10B   0.004
11A   0.050
11B   0.041
12A   0.000
12B   0.000
13A   0.166
13B   0.215
14A -99.999
14B -99.999
15A -99.999
15B -99.999
16A -99.999
16B -99.999
17A   0.000
17B   0.000
18A   0.072
18B   0.000
19A   0.000
19B   0.000
20A   0.000
20B   0.067
21A   1.108
21B   1.009
22A -99.999
22B -99.999
23A -99.999
23B -99.999
24A -99.999
24B -99.999
25A -99.999
25B -99.999
26A   0.226
26B   0.000
27A   0.000
27B   0.051
28A   0.000
28B   0.131
29A   1.331
29B   1.091
30A   0.897
30B   0.917
31A -99.999
31B -99.999
32A -99.999
32B -99.999
33A -99.999
33B -99.999
34A -99.999
34B -99.999
35A -99.999
35B -99.999
36A   0.038
36B   0.000
37A   0.035
37B   0.012
38A   0.933
38B   0.574
39A   1.536
39B   1.442
40A   0.931
40B   0.862
41A -99.999
41B -99.999
42A -99.999
42B -99.999
43A -99.999
43B -99.999
44A   0.275
44B   0.098
45A   0.816
45B   0.440
46A   0.766
46B   0.568
47A   0.706
47B   0.736
48A   1.072
48B   0.839
49A   0.694
49B   0.748
50A   0.813
50B   0.736
51A -99.999
51B -99.999
52A   0.275
52B   0.174
53A   0.594
53B   0.296
54A   0.523
54B   0.439
55A   0.621
55B   0.643
56A   0.652
56B   0.713
57A   1.738
57B   1.547
58A   0.691
58B   0.796
59A   0.892
59B   1.072
60A   0.077
60B   0.122
61A   0.143
61B   0.087
62A   0.231
62B   0.181
63A   0.201
63B   0.271
64A   0.911
64B   0.805
65A   0.718
65B   0.911
66A   0.852
66B   0.936
67A   0.628
67B   0.764
68A   0.336
68B   0.178
69A   0.154
69B   0.100
70A   0.151
70B   0.261
71A   0.859
71B   0.814
72A   0.457
72B   0.309
73A   0.621
73B   0.740
74A   0.731
74B   0.740
75A   0.160
75B   0.320
76A   0.223
76B   0.117
77A   0.703
77B   0.455
78A   0.508
78B   0.339
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
