2009-09-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.004
03A   0.025
03B   0.000
04A   0.000
04B   0.000
05A   0.035
05B   0.000
06A   0.000
06B   0.033
07A -99.999
07B -99.999
08A -99.999
08B -99.999
09A   0.072
09B   0.000
10A   0.000
10B   0.000
11A   0.000
11B   0.074
12A   0.004
12B   0.000
13A   0.162
13B   0.210
14A -99.999
14B -99.999
15A -99.999
15B -99.999
16A -99.999
16B -99.999
17A   0.017
17B   0.000
18A   0.063
18B   0.000
19A   0.000
19B   0.000
20A   0.034
20B   0.049
21A   1.176
21B   1.092
22A -99.999
22B -99.999
23A -99.999
23B -99.999
24A -99.999
24B -99.999
25A -99.999
25B -99.999
26A   0.192
26B   0.000
27A   0.014
27B   0.051
28A   0.000
28B   0.094
29A   1.499
29B   1.177
30A   0.918
30B   1.018
31A -99.999
31B -99.999
32A -99.999
32B -99.999
33A -99.999
33B -99.999
34A -99.999
34B -99.999
35A -99.999
35B -99.999
36A   0.012
36B   0.000
37A   0.029
37B   0.021
38A   0.949
38B   0.646
39A   1.569
39B   1.522
40A   0.925
40B   0.826
41A -99.999
41B -99.999
42A -99.999
42B -99.999
43A -99.999
43B -99.999
44A   0.281
44B   0.105
45A   0.812
45B   0.444
46A   0.839
46B   0.719
47A   0.675
47B   0.764
48A   1.096
48B   0.892
49A   0.776
49B   0.841
50A   0.851
50B   0.781
51A -99.999
51B -99.999
52A   0.229
52B   0.213
53A   0.579
53B   0.330
54A   0.526
54B   0.549
55A   0.702
55B   0.678
56A   0.773
56B   0.820
57A   1.858
57B   1.575
58A   0.689
58B   0.824
59A   0.882
59B   1.159
60A   0.180
60B   0.132
61A   0.113
61B   0.143
62A   0.241
62B   0.200
63A   0.211
63B   0.297
64A   0.960
64B   0.774
65A   0.757
65B   0.854
66A   0.832
66B   0.975
67A   0.700
67B   0.845
68A   0.333
68B   0.135
69A   0.148
69B   0.092
70A   0.280
70B   0.304
71A   0.850
71B   0.861
72A   0.460
72B   0.290
73A   0.573
73B   0.768
74A   0.726
74B   0.728
75A   0.222
75B   0.278
76A   0.216
76B   0.145
77A   0.728
77B   0.491
78A   0.513
78B   0.303
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
