2009-12-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.009
03A   0.000
03B   0.003
04A   0.000
04B   0.000
05A   0.000
05B   0.000
06A   0.000
06B   0.052
07A -99.999
07B -99.999
08A -99.999
08B -99.999
09A   0.077
09B   0.000
10A   0.030
10B   0.065
11A   0.000
11B   0.000
12A   0.000
12B   0.000
13A   0.285
13B   0.184
14A -99.999
14B -99.999
15A -99.999
15B -99.999
16A -99.999
16B -99.999
17A   0.000
17B   0.000
18A   0.075
18B   0.000
19A   0.000
19B   0.000
20A   0.000
20B   0.000
21A   1.168
21B   1.160
22A -99.999
22B -99.999
23A -99.999
23B -99.999
24A -99.999
24B -99.999
25A -99.999
25B -99.999
26A   0.230
26B   0.000
27A   0.064
27B   0.101
28A   0.000
28B   0.000
29A   1.577
29B   1.323
30A   0.806
30B   0.955
31A -99.999
31B -99.999
32A -99.999
32B -99.999
33A -99.999
33B -99.999
34A -99.999
34B -99.999
35A -99.999
35B -99.999
36A   0.000
36B   0.000
37A   0.017
37B   0.027
38A   1.067
38B   0.711
39A   0.912
39B   0.639
40A   0.838
40B   0.799
41A -99.999
41B -99.999
42A -99.999
42B -99.999
43A -99.999
43B -99.999
44A   0.343
44B   0.129
45A   0.785
45B   0.524
46A   0.800
46B   0.813
47A   0.635
47B   0.717
48A   1.160
48B   0.886
49A   0.892
49B   0.929
50A   0.912
50B   0.786
51A -99.999
51B -99.999
52A   0.343
52B   0.318
53A   0.562
53B   0.393
54A   0.611
54B   0.698
55A   0.822
55B   0.733
56A   0.946
56B   0.933
57A   1.899
57B   1.794
58A   0.776
58B   0.821
59A   0.912
59B   1.170
60A   0.266
60B   0.209
61A   0.200
61B   0.224
62A   0.253
62B   0.252
63A   0.281
63B   0.332
64A   0.996
64B   0.706
65A   0.792
65B   0.861
66A   0.764
66B   0.893
67A   0.666
67B   0.900
68A   0.337
68B   0.222
69A   0.166
69B   0.170
70A   0.412
70B   0.562
71A   0.849
71B   0.868
72A   0.547
72B   0.553
73A   0.639
73B   0.731
74A   0.673
74B   0.720
75A   0.190
75B   0.262
76A   0.183
76B   0.203
77A   0.705
77B   0.479
78A   0.566
78B   0.448
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
