2009-07-01 00:00:00
01A -99.999
01B -99.999
02A   0.000
02B   0.000
03A   0.023
03B   0.000
04A   0.000
04B   0.000
05A   0.030
05B   0.000
06A   0.030
06B   0.000
07A -99.999
07B -99.999
08A -99.999
08B -99.999
09A   0.039
09B   0.000
10A   0.000
10B   0.026
11A   0.054
11B   0.037
12A   0.000
12B   0.013
13A   0.140
13B   0.155
14A -99.999
14B -99.999
15A -99.999
15B -99.999
16A -99.999
16B -99.999
17A   0.000
17B   0.000
18A   0.094
18B   0.000
19A   0.000
19B   0.000
20A   0.000
20B   0.068
21A   1.066
21B   1.026
22A -99.999
22B -99.999
23A -99.999
23B -99.999
24A -99.999
24B -99.999
25A -99.999
25B -99.999
26A   0.233
26B   0.000
27A   0.000
27B   0.018
28A   0.000
28B   0.026
29A   1.353
29B   1.097
30A   0.931
30B   0.879
31A -99.999
31B -99.999
32A -99.999
32B -99.999
33A -99.999
33B -99.999
34A -99.999
34B -99.999
35A -99.999
35B -99.999
36A   0.000
36B   0.000
37A   0.025
37B   0.009
38A   0.944
38B   0.643
39A   1.521
39B   1.444
40A   0.893
40B   0.773
41A -99.999
41B -99.999
42A -99.999
42B -99.999
43A -99.999
43B -99.999
44A   0.214
44B   0.097
45A   0.749
45B   0.433
46A   0.780
46B   0.664
47A   0.749
47B   0.736
48A   1.078
48B   0.849
49A   0.645
49B   0.759
50A   0.763
50B   0.712
51A -99.999
51B -99.999
52A   0.279
52B   0.218
53A   0.548
53B   0.302
54A   0.478
54B   0.466
55A   0.642
55B   0.642
56A   0.698
56B   0.718
57A   1.819
57B   1.504
58A   0.692
58B   0.802
59A   0.886
59B   1.105
60A   0.119
60B   0.121
61A   0.133
61B   0.079
62A   0.272
62B   0.124
63A   0.217
63B   0.299
64A   0.885
64B   0.823
65A   0.751
65B   0.847
66A   0.851
66B   0.976
67A   0.585
67B   0.789
68A   0.347
68B   0.148
69A   0.117
69B   0.110
70A   0.163
70B   0.204
71A   0.846
71B   0.842
72A   0.461
72B   0.337
73A   0.585
73B   0.736
74A   0.674
74B   0.697
75A   0.196
75B   0.317
76A   0.229
76B   0.087
77A   0.706
77B   0.504
78A   0.479
78B   0.346
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
