2009-11-01 00:00:00
01A -99.999
01B -99.999
02A   0.008
02B   0.048
03A   0.002
03B   0.074
04A   0.000
04B   0.011
05A   0.088
05B   0.070
06A   0.007
06B   0.026
07A -99.999
07B -99.999
08A -99.999
08B -99.999
09A   0.148
09B   0.055
10A   0.007
10B   0.086
11A   0.000
11B   0.041
12A   0.048
12B   0.034
13A   0.245
13B   0.218
14A -99.999
14B -99.999
15A -99.999
15B -99.999
16A -99.999
16B -99.999
17A   0.020
17B   0.046
18A   0.118
18B   0.037
19A   0.000
19B   0.052
20A   0.075
20B   0.046
21A   1.247
21B   1.248
22A -99.999
22B -99.999
23A -99.999
23B -99.999
24A -99.999
24B -99.999
25A -99.999
25B -99.999
26A   0.279
26B   0.000
27A   0.041
27B   0.088
28A   0.000
28B   0.074
29A   1.642
29B   1.359
30A   0.908
30B   1.030
31A -99.999
31B -99.999
32A -99.999
32B -99.999
33A -99.999
33B -99.999
34A -99.999
34B -99.999
35A -99.999
35B -99.999
36A   0.050
36B   0.002
37A   0.067
37B   0.080
38A   1.024
38B   0.704
39A   1.750
39B   1.709
40A   0.973
40B   0.901
41A -99.999
41B -99.999
42A -99.999
42B -99.999
43A -99.999
43B -99.999
44A   0.394
44B   0.196
45A   0.922
45B   0.601
46A   0.901
46B   0.892
47A   0.701
47B   0.847
48A   1.137
48B   0.927
49A   0.896
49B   0.989
50A   0.949
50B   0.824
51A -99.999
51B -99.999
52A   0.386
52B   0.314
53A   0.623
53B   0.485
54A   0.660
54B   0.809
55A   0.895
55B   0.780
56A   0.981
56B   0.922
57A   1.926
57B   1.942
58A   0.780
58B   0.904
59A   0.983
59B   1.212
60A   0.211
60B   0.304
61A   0.200
61B   0.218
62A   0.311
62B   0.249
63A   0.322
63B   0.331
64A   0.976
64B   0.825
65A   0.848
65B   0.894
66A   0.897
66B   0.998
67A   0.751
67B   1.033
68A   0.368
68B   0.238
69A   0.217
69B   0.261
70A   0.383
70B   0.500
71A   0.879
71B   0.983
72A   0.621
72B   0.503
73A   0.711
73B   0.814
74A   0.808
74B   0.816
75A   0.234
75B   0.365
76A   0.263
76B   0.257
77A   0.725
77B   0.549
78A   0.566
78B   0.480
79A -99.999
79B -99.999
80A -99.999
80B -99.999
81A -99.999
81B -99.999
